cell_id,class,model,raw_circularity_ae,closing_circularity_ae,dual_null_circularity_ae,benefit_closing,benefit_null,specific_advantage,raw_nucleus_dice,closing_nucleus_dice,dual_null_nucleus_dice,raw_foreground_dice,closing_foreground_dice,dual_null_foreground_dice,raw_nc_ae,closing_nc_ae,dual_null_nc_ae,raw_area_ae,closing_area_ae,dual_null_area_ae,raw_invalid,closing_invalid,dual_null_invalid,raw_pred_circularity,gt_circularity,roundness_group
148495842-148495854-001,light_dysplastic,baseline,0.1480747988283474,0.16410117283815773,0.16331123334150743,-0.012825395940552542,-0.011741702723171654,-0.0007899394966502937,0.9220575414123802,0.9226211223422796,0.9226211223422796,0.8975471453732633,0.8976791916409201,0.898195235924155,0.11590754040801132,0.11529111677383935,0.11529111677383935,421.0,418.0,418.0,0.0,0.0,0.0,0.6376448488904618,0.4895700500621144,over_circular
148497551-148497588-001,light_dysplastic,baseline,0.008447609322240535,0.029978763630301386,0.029978763630301386,-0.014154513063374341,-0.016052107555033834,0.0003281826384048392,0.9745318352059925,0.9744355290166076,0.9744355290166076,0.9142995129249976,0.9142700226335714,0.9139625477849335,0.16067197371849884,0.1625133058050251,0.1625133058050251,110.0,115.0,115.0,0.0,0.0,0.0,0.8290275181966573,0.8205799088744168,over_circular
148497788-148497816-002,light_dysplastic,baseline,0.09872625580518368,0.009701893394850947,0.01128575150040878,0.08934751158130982,0.0874405043047749,0.0019070072765349222,0.9062119366626066,0.9120426459898231,0.9047734431790647,0.8539025873249351,0.8569947146039765,0.8569947146039765,0.018560673852481474,0.017828593775613633,0.017828593775613633,327.0,305.0,305.0,0.0,0.0,0.0,0.6475809265281439,0.7463071823333276,under_circular
148503209-148503222-001,light_dysplastic,baseline,0.30817096085927437,0.26385867096806165,0.2664730756907178,0.04655116309189672,0.04712482498759035,-0.00037778710068481214,0.8704906204906205,0.868837711406981,0.8686577905721482,0.8349497777491615,0.8342044230271044,0.8328342508585337,0.06683859219522037,0.07035055862864853,0.07035055862864853,1374.0,1402.0,1402.0,0.0,0.0,0.0,0.4432917986087102,0.7514627594679846,under_circular
148503209-148503231-001,light_dysplastic,baseline,0.11578209186306188,0.03744581058081797,0.03670000935616924,0.07225746718400683,0.0716944010310287,0.0005630661529781311,0.8551309736175007,0.8517202692595363,0.8517202692595363,0.825257744069617,0.8218359368391317,0.8218359368391317,0.2535049345593242,0.26478238227794215,0.26478238227794215,1539.0,1584.0,1584.0,0.0,0.0,0.0,0.5386987943730689,0.6544808862361308,under_circular
148503400-148503432-001,light_dysplastic,baseline,0.0027111508307194887,0.11514780048172513,0.11828939399056448,-0.11243664965100564,-0.10876131169566461,-0.003081026520312391,0.9340688673369517,0.9401043970627267,0.9401043970627267,0.9171411105947813,0.9211686846673048,0.9211686846673048,0.021131478515787783,0.016150097668890695,0.016150097668890695,561.0,514.0,514.0,0.0,0.0,0.0,0.6743705935849151,0.6770817444156346,under_circular
148503568-148503580-002,light_dysplastic,baseline,0.18117885579786047,0.21719807835906052,0.21773656783681067,-0.036079685246632076,-0.03624296351502432,0.00032583459522605995,0.8774002954209749,0.8793650793650793,0.8798185941043084,0.8234098528174705,0.8247181399771628,0.8250676569834088,0.09649813312966854,0.09863828709849892,0.09863828709849892,324.0,333.0,333.0,0.0,0.0,0.0,0.6679618717027584,0.486783015904898,over_circular
148718455-148718461-001,light_dysplastic,baseline,0.14754338587436444,0.016423218217635704,0.016323738897025764,0.12086712278585765,0.1190795927321121,-9.947932060994091e-05,0.9668527564549896,0.9690996579511856,0.9689837092005333,0.9349828091044574,0.9365427066635807,0.936457338780516,0.01949968661785556,0.02612130925009859,0.02612130925009859,490.0,437.0,437.0,0.0,0.0,0.0,0.7206022058669193,0.8681455917412837,under_circular
148719308-148719348-004,light_dysplastic,baseline,0.021452859224343257,0.015857733106223848,0.015498742238487573,0.005164651400438536,0.005164652361244193,-9.608056572574242e-10,0.9611351017890192,0.9613486842105263,0.9613486842105263,0.9378010948606377,0.9376287733314359,0.9379650845298704,0.05785739942528734,0.05835017545750698,0.05835017545750698,169.0,170.0,170.0,0.0,0.0,0.0,0.8062627212674002,0.8277155804917434,under_circular
148719308-148719357-001,light_dysplastic,baseline,0.05004608662644028,0.007030749448441065,0.0073273849989269335,0.04301533717799921,0.042718701627513345,4.616387050404569e-09,0.9772972972972973,0.9769866954332974,0.9762675296655879,0.8964776325464832,0.8961760373526587,0.8956775269889485,0.026880492213463336,0.02467192737257423,0.02467192737257423,12.0,22.0,22.0,0.0,0.0,0.0,0.7447240340569417,0.7947701206833819,under_circular
