roundness_group,n,benefit_closing_mean,benefit_closing_median,benefit_closing_ci_low,benefit_closing_ci_high,benefit_null_mean,benefit_null_median,benefit_null_ci_low,benefit_null_ci_high,specific_advantage_mean,specific_advantage_median,specific_advantage_ci_low,specific_advantage_ci_high
under_circular,116,0.04690342431969671,0.036557407732482367,0.03767791120129673,0.056228079223099026,0.04525064768341394,0.03860419419203304,0.036103671196266035,0.05459863197145882,0.0018101788603449894,3.1036109793269873e-10,0.0005924642304670892,0.0035257767628711647
over_circular,68,-0.016385549206124114,-0.012033193690338062,-0.02033560163868828,-0.012790045885304196,-0.0167486022848649,-0.012292785514157523,-0.02070197033690148,-0.013135720690368271,0.0002370954903839435,5.762991694968633e-09,3.713063172003548e-05,0.0004259179908176369
equal,0,,,,,,,,,,,,
