metric,scope,mean,ci_lo,ci_hi,n_clusters,n_obs
noise_circularity_error_change,all,0.0632660944011204,0.050819409300212545,0.07628985109539912,184,3269
noise_circularity_error_change,seed_20260803,0.06265902965246915,0.04899306653575681,0.07655069527904927,183,1087
noise_circularity_error_change,seed_20260804,0.0573601182898444,0.043436746421123204,0.071835172560083,184,1098
noise_circularity_error_change,seed_20260805,0.06985709177378177,0.05689322281626006,0.0835270268286188,184,1084
noise_circularity_error_change,model_baseline,0.06354474022308391,0.04995554411641301,0.07745770858195132,184,1645
noise_circularity_error_change,model_nc_aware_lambda_0p10,0.0629838454004246,0.050577388874218816,0.07602754166168156,184,1624
noise_circularity_error_change,severity_10,0.00633845807744297,0.0006849334897729157,0.012056910046458539,184,1097
noise_circularity_error_change,severity_20,0.05437836492086935,0.0403044933890551,0.06913698231326815,184,1095
noise_circularity_error_change,severity_30,0.13028715366569704,0.10896734491090937,0.1523288968105771,184,1077
noise_perimeter_error_change,all,8.775011085887757,6.561990629195426,11.21516433211591,184,3269
noise_perimeter_error_change,seed_20260803,9.101184771383368,5.293477605413745,13.1592059450908,183,1087
noise_perimeter_error_change,seed_20260804,5.3985333777081985,2.95646274152252,7.9736035263250615,184,1098
noise_perimeter_error_change,seed_20260805,11.86802005954774,9.13577831527215,14.821078099123431,184,1084
noise_perimeter_error_change,model_baseline,7.6252492064762984,4.708855281418736,10.795357071683588,184,1645
noise_perimeter_error_change,model_nc_aware_lambda_0p10,9.939640575808845,7.460765792073092,12.652104493733,184,1624
noise_perimeter_error_change,severity_10,-0.19289657508881394,-1.295359165542967,1.0269635054180013,184,1097
noise_perimeter_error_change,severity_20,5.233174850733858,2.6155804954311628,7.985270077936885,184,1095
noise_perimeter_error_change,severity_30,21.510484977795663,16.85167266855788,26.463596261775802,184,1077
noise_area_error_change,all,140.17834200061182,98.02147999616707,182.80483153137922,184,3269
noise_area_error_change,seed_20260803,105.83992640294389,50.46655556062891,163.66925232548215,183,1087
noise_area_error_change,seed_20260804,86.28688524590164,43.23658473708773,128.7231729183943,184,1098
noise_area_error_change,seed_20260805,229.19926199261994,180.86557438473545,279.55276530476135,184,1084
noise_area_error_change,model_baseline,117.3355623100304,70.06978751069732,163.51520723989026,184,1645
noise_area_error_change,model_nc_aware_lambda_0p10,163.31650246305418,120.95131464241727,207.2324778902079,184,1624
noise_area_error_change,severity_10,3.4275296262534183,-8.38356999952109,15.342212613347407,184,1097
noise_area_error_change,severity_20,86.21735159817352,44.49976252374764,127.55938827898105,184,1095
noise_area_error_change,severity_30,334.3314763231198,254.7894004689887,414.8396590918988,184,1077
noise_nc_error_change,all,0.03486653034235295,0.008291247990125828,0.06085202453168462,184,3269
noise_nc_error_change,seed_20260803,0.02005852468438421,-0.005384971916628451,0.04360424362093478,183,1087
noise_nc_error_change,seed_20260804,0.018894776037772815,-0.013887089909327346,0.05245969981382892,184,1098
noise_nc_error_change,seed_20260805,0.06589354913999226,0.037507717579021646,0.09460080774565433,184,1084
noise_nc_error_change,model_baseline,0.03516689261986289,0.009000248045606788,0.06003993271247343,184,1645
noise_nc_error_change,model_nc_aware_lambda_0p10,0.03456228406987521,0.005566300675736253,0.0631963561787751,184,1624
noise_nc_error_change,severity_10,-0.0030156927238632705,-0.011116760853066768,0.004477857801595799,184,1097
noise_nc_error_change,severity_20,0.017022248187158324,-0.010229210822220442,0.04312922050621677,184,1095
noise_nc_error_change,severity_30,0.09159474544316755,0.044967547811261624,0.1391610195621765,184,1077
noise_dice_change,all,-0.03253593178803455,-0.03905848739794027,-0.02635650117003683,184,3269
noise_dice_change,seed_20260803,-0.024938692864927763,-0.03184922991908097,-0.018149277696354976,183,1087
noise_dice_change,seed_20260804,-0.02212219621534733,-0.02926757386310843,-0.015493440088867614,184,1098
noise_dice_change,seed_20260805,-0.05070242659267259,-0.0587628073052373,-0.04298843437352951,184,1084
noise_dice_change,model_baseline,-0.028125775856162154,-0.035003367648365265,-0.021548918027576133,184,1645
noise_dice_change,model_nc_aware_lambda_0p10,-0.03700311559833632,-0.04415171408164515,-0.030476412938762805,184,1624
noise_dice_change,severity_10,-0.0020815877495351763,-0.0038024150391008397,-0.0003948325017583297,184,1097
noise_dice_change,severity_20,-0.020456434617880787,-0.026465515359108585,-0.014656828946912896,184,1095
noise_dice_change,severity_30,-0.07583719902253051,-0.08915428288458477,-0.06347739688386192,184,1077
