cell_id,circ_change_diff
148497551-148497588-001,0.010780547933225498
148497788-148497816-002,-0.0167075830664766
148497788-148497836-002,0.0071035183006583
148499383-148499452-002,0.0026731140850443005
148499815-148500094-001,-0.003861158097261501
148719308-148719348-004,0.0008329433406023996
148719308-148719357-001,0.004046544854927001
148848523-148848559-003,0.009068731486052
148848523-148848559-004,-0.049191342705141104
148881870-148881960-001,0.049732675170879495
148881870-148882178-002,0.005607535036532999
149013033-149013072-001,-0.0031837135399343
149014631-149014646-001,0.0061044736461131005
149014631-149014646-002,-0.0057269075631251
149014929-149015008-003,0.0016171193653111999
149053945-149053969-001,0.01467083129391
149054642-149054677-003,-0.016074527927724902
149056321-149056360-001,-0.0250475177621088
149056410-149056423-003,-0.048480636676940705
149056410-149056423-004,-0.0188849755943018
149056410-149056458-001,0.01786447285920905
149056410-149056458-002,-0.010572109818421998
149056545-149056555-001,0.0006527006740025994
149056785-149056797-003,-0.0109680031592501
149056785-149056797-004,-0.0037434795056094997
149056873-149056884-001,0.002317051346882199
149056873-149056884-002,0.0334572583611083
149056933-149056982-002,0.018128203757753997
149056933-149056982-003,0.02089271119638615
149057812-149057825-005,-0.0079465996049125
149057812-149057847-004,0.009350373787125998
149057812-149057847-006,-0.021853105007486003
149059215-149059228-001,0.014827455520775901
149061666-149061683-003,-0.0124566627203897
149097594-149097661-001,-0.0105246668649082
149098972-149098988-001,-0.0168957953293599
149098972-149098988-002,-0.0251697356725997
149098972-149099015-002,0.0018607462900149998
149099096-149099104-001,-0.0038074246287285
149100006-149100028-002,-0.012210485519553203
149101620-149101664-001,-0.0153960239280365
149101894-149101909-001,-0.0187379768559338
149101894-149101909-002,-0.03257504405249721
149101894-149101909-003,0.015090448008263
149101894-149101918-001,-0.041292790522603796
149101894-149101930-002,-0.028233026605752
149102510-149102519-002,-0.0013036949485825
149105003-149105050-001,-0.022193844180323802
149105131-149105155-001,0.009535164615663099
149105289-149105300-001,0.0121753046008019
149143028-149143108-002,0.0017847871477573007
149143469-149143497-003,0.0013695939405348996
149146635-149146651-001,-0.0268205729834733
149147060-149147075-001,-0.0038555393527716
149147848-149147864-002,0.013349232831114999
149147949-149147960-002,-0.0275311555909974
149181904-149181927-001,0.0079140519844688
149181904-149181951-001,0.00010432790130359988
149182125-149182135-001,-0.024744485703841995
149182125-149182135-002,-0.014841135895229599
149182550-149182571-004,0.0020758230560136005
149182657-149182667-001,-0.024007512009621
