cell_id,cf_severity,shape_perturbation,shape_severity,cf_dice,shape_dice,absolute_dice_difference,cf_abs_circ_change,shape_abs_circ_change,circ_change_diff,cf_abs_nc_change,shape_abs_nc_change,cf_perimeter_change
148497551-148497588-001,high,dilation,r1,0.977055449330784,0.9686979070198184,0.008357542310965638,0.0167375090620111,0.0059569611287856,0.010780547933225498,0.0,0.057982087542845,1.999999761581421
148497788-148497816-002,high,dilation,r1,0.9729241877256316,0.964107026321514,0.00881716140411759,0.0175191630054245,0.0342267460719011,-0.0167075830664766,0.0,0.0128151488871687,2.242640495300293
148497788-148497836-002,high,dilation,r1,0.9792459356624006,0.9719280551353168,0.00731788052708382,0.0105904154448548,0.0034868971441965,0.0071035183006583,0.0,0.0260745233852076,1.41421377658844
148499383-148499452-002,high,dilation,r1,0.9679658302189,0.9619928094504364,0.005973020768463622,0.012774146913866,0.0101010328288217,0.0026731140850443005,0.0,0.0433271356372383,1.4142136573791504
148499815-148500094-001,high,dilation,r1,0.9737072743207712,0.953216374269006,0.020490900051765237,0.0199150557006773,0.0237762137979388,-0.003861158097261501,0.0,0.0149881033279141,5.656854271888733
148719308-148719348-004,high,dilation,r1,0.9761999206664024,0.9679401036667308,0.008259816999671599,0.007081771906744,0.0062488285661416,0.0008329433406023996,0.0,0.0753164278745802,0.8284271955490112
148719308-148719357-001,high,dilation,r1,0.9783393501805054,0.9692092372288312,0.009130112951674207,0.0109489123639159,0.0069023675089889,0.004046544854927001,0.0,0.0364056532549844,1.4142135381698608
148848523-148848559-003,high,dilation,r1,0.9676898222940228,0.9616778871051268,0.006011935188895978,0.0190061869394277,0.0099374554533757,0.009068731486052,0.0,0.0576037627127693,1.999998688697815
148848523-148848559-004,high,dilation,r1,0.9645599527466036,0.962205171923842,0.0023547808227615263,0.0180541927814901,0.0672455354866312,-0.049191342705141104,0.0,0.0575296168340153,-2.0
148881870-148881960-001,high,dilation,r1,0.9730941704035876,0.9641158668396024,0.008978303563985213,0.0610660695352505,0.011333394364371,0.049732675170879495,0.0,0.0290681720608377,8.242641687393188
148881870-148882178-002,high,dilation,r1,0.9701789264413518,0.9626794258373206,0.007499500604031262,0.0167371846030846,0.0111296495665516,0.005607535036532999,0.0,0.101612693458187,2.000000596046448
149013033-149013072-001,high,dilation,r1,0.9771428571428572,0.968277388417558,0.008865468725299253,0.0086019304676687,0.011785644007603,-0.0031837135399343,0.0,0.0452295541516882,1.0710680484771729
149014631-149014646-001,high,dilation,r1,0.9736147757255936,0.967453733248245,0.0061610424773486105,0.0107970921294432,0.0046926184833301,0.0061044736461131005,0.0,0.0484813926779634,1.1715729236602783
149014631-149014646-002,high,dilation,r1,0.9684542586750788,0.9601211509338716,0.008333107741207213,0.0084935456446552,0.0142204532077803,-0.0057269075631251,0.0,0.0290184988169504,1.071066975593567
149014929-149015008-003,high,dilation,r1,0.9783236994219652,0.9698668535388928,0.008456845883072384,0.011607053974016,0.0099899346087048,0.0016171193653111999,0.0,0.0615357139543729,1.4142134189605713
149053945-149053969-001,high,dilation,r1,0.9739243807040416,0.966603654694392,0.007320726009649614,0.0206119792497604,0.0059411479558504,0.01467083129391,0.0,0.0185885614594117,2.2426403760910034
149054642-149054677-003,high,dilation,r1,0.9751655629139072,0.9660135945621752,0.009151968351732043,0.0030141780177687,0.0190887059454936,-0.016074527927724902,0.0,0.0440588599914174,-0.3431460857391357
149056321-149056360-001,high,dilation,r1,0.9716847569608306,0.9609977324263038,0.010687024534526746,0.0063467144996066,0.0313942322617154,-0.0250475177621088,0.0,0.0788367353709829,-0.928932785987854
149056410-149056423-003,high,dilation,r1,0.9623588456712672,0.954491017964072,0.007867827707195185,0.0114082325789364,0.0598888692558771,-0.048480636676940705,0.0,0.0458853857989098,1.656854271888733
149056410-149056423-004,high,dilation,r1,0.973045822102426,0.9572135024725864,0.015832319629839553,0.0046955730769888,0.0235805486712906,-0.0188849755943018,0.0,0.1002422367411522,1.071067452430725
149056410-149056458-001,medium,dilation,r1,0.9766718506998444,0.9547141796585004,0.02195767104134405,0.024708267263594,0.0180105315489982,0.006697735714595799,0.0,0.1048979023536696,2.2426400184631348
149056410-149056458-001,high,erosion,r1,0.9533437013996888,0.9519152404237978,0.0014284609758909994,0.0398088602290954,0.0107776502252731,0.0290312100038223,0.0,0.090090713492248,3.6568541526794434
149056410-149056458-002,medium,dilation,r1,0.9763593380614656,0.9609996213555472,0.015359716705918403,0.0062256491595066,0.0167977589779286,-0.010572109818421998,0.0,0.1891188761999338,0.5857867002487183
149056545-149056555-001,high,dilation,r1,0.9746835443037974,0.966557911908646,0.008125632395151405,0.0074946322146841,0.0068419315406815,0.0006527006740025994,0.0,0.0622938794088462,0.8284279108047485
149056785-149056797-003,high,dilation,r1,0.964221824686941,0.960206126538792,0.0040156981481489495,0.0041750837227975,0.0151430868820476,-0.0109680031592501,0.0,0.0953498024452367,-0.3431456089019775
149056785-149056797-004,high,dilation,r1,0.9670691547749726,0.961731327527052,0.005337827247920535,0.0057184724121576,0.0094619519177671,-0.0037434795056094997,0.0,0.1718794845255056,0.5857863426208496
149056873-149056884-001,high,dilation,r1,0.967444384156267,0.9621508744453146,0.005293509710952438,0.0113409846233182,0.009023933276436,0.002317051346882199,0.0,0.1092952837373923,1.1715723276138306
149056873-149056884-002,high,dilation,r1,0.9631675874769796,0.9599292869770184,0.003238300499961211,0.0437101496444459,0.0102528912833376,0.0334572583611083,0.0,0.2064259325675415,4.82842743396759
149056933-149056982-002,medium,dilation,r1,0.9740484429065744,0.951832029641828,0.022216413264746437,0.0314615760549861,0.0133333722972321,0.018128203757753997,0.0,0.0727131987163257,2.8284271955490112
149056933-149056982-003,medium,dilation,r1,0.9770466717674062,0.9543629061701352,0.022683765597271033,0.0103294104142982,0.0181430869525219,-0.0078136765382237,0.0,0.046986929277521,0.8284270763397217
149056933-149056982-003,high,erosion,r1,0.9540933435348126,0.95146409947854,0.0026292440562725172,0.0543967198335797,0.0047976209025837,0.049599098930996004,0.0,0.0425703291873476,4.485281467437744
149057812-149057825-005,high,dilation,r1,0.9729607931500676,0.971753886577622,0.0012069065724455985,0.0019029293324803,0.0098495289373928,-0.0079465996049125,0.0,0.0448233873213508,0.2426401376724243
149057812-149057847-004,high,dilation,r1,0.9787384833451452,0.9690934065934066,0.009645076751738646,0.0169122865052001,0.0075619127180741,0.009350373787125998,0.0,0.0383551307847082,2.2426401376724243
149057812-149057847-006,high,dilation,r1,0.9655963302752294,0.9571899012074644,0.008406429067765009,0.0156007965914041,0.0374539015988901,-0.021853105007486003,0.0,0.0442365721695696,-1.9999996423721316
149059215-149059228-001,high,dilation,r1,0.9732262382864793,0.965948275862069,0.007277962424410256,0.0211066589404039,0.006279203419628,0.014827455520775901,0.0,0.0108456206110145,2.242639899253845
149061666-149061683-003,high,dilation,r1,0.967654986522911,0.9606421543241844,0.007012832198726615,0.0,0.0124566627203897,-0.0124566627203897,0.0,0.0447047061093472,0.0
149097594-149097661-001,high,dilation,r1,0.9733924611973392,0.9624413145539906,0.01095114664334862,0.0083474257279009,0.0188720925928091,-0.0105246668649082,0.0,0.0154793175328309,-1.171573042869568
149098972-149098988-001,high,dilation,r1,0.9786856127886324,0.9627222982216144,0.01596331456701805,0.0062332833155327,0.0231290786448926,-0.0168957953293599,0.0,0.0519146463383664,1.4142135381698608
149098972-149098988-002,high,dilation,r1,0.9771341463414634,0.9580138736765242,0.01912027266493921,0.0110144893113391,0.0361842249839388,-0.0251697356725997,0.0,0.1108873954803866,3.656854271888733
149098972-149099015-002,high,dilation,r1,0.9741267787839586,0.9652445369406868,0.008882241843271799,0.0116466941296557,0.0097859478396407,0.0018607462900149998,0.0,0.0297854099878565,1.414214015007019
149099096-149099104-001,high,dilation,r1,0.969589457678662,0.9600973236009732,0.009492134077688785,0.0206184606889189,0.0244258853176474,-0.0038074246287285,0.0,0.0676582410428543,2.8284270763397217
149100006-149100028-002,high,dilation,r1,0.9737876802096984,0.9615626969124134,0.012224983297285053,0.0074718297977955,0.0196823153173487,-0.012210485519553203,0.0,0.0821491254412835,1.4142136573791504
149101620-149101664-001,high,dilation,r1,0.9791811242192922,0.96906523201076,0.010115892208532151,0.0016764080888024,0.0170724320168389,-0.0153960239280365,0.0,0.0434949681638204,0.2426401376724243
149101894-149101909-001,high,dilation,r1,0.97709049255441,0.9658860409367508,0.011204451617659261,0.0041085078585809,0.0228464847145147,-0.0187379768559338,0.0,0.0896018948987099,1.0710673332214355
