metric,scope,mean,ci_lo,ci_hi,n_clusters,n_obs,source
noise_circularity_error_change,all,0.0632660944011204,0.0508194093002125,0.0762898510953991,184,3269,phase_a_mechanism
noise_circularity_error_change,seed_20260803,0.0626590296524691,0.0489930665357568,0.0765506952790492,183,1087,phase_a_mechanism
noise_circularity_error_change,seed_20260804,0.0573601182898444,0.0434367464211232,0.071835172560083,184,1098,phase_a_mechanism
noise_circularity_error_change,seed_20260805,0.0698570917737817,0.05689322281626,0.0835270268286188,184,1084,phase_a_mechanism
noise_circularity_error_change,model_baseline,0.0635447402230839,0.049955544116413,0.0774577085819513,184,1645,phase_a_mechanism
noise_circularity_error_change,model_nc_aware_lambda_0p10,0.0629838454004246,0.0505773888742188,0.0760275416616815,184,1624,phase_a_mechanism
noise_circularity_error_change,severity_10,0.0063384580774429,0.0006849334897729,0.0120569100464585,184,1097,phase_a_mechanism
noise_circularity_error_change,severity_20,0.0543783649208693,0.0403044933890551,0.0691369823132681,184,1095,phase_a_mechanism
noise_circularity_error_change,severity_30,0.130287153665697,0.1089673449109093,0.1523288968105771,184,1077,phase_a_mechanism
noise_perimeter_error_change,all,8.775011085887757,6.561990629195426,11.21516433211591,184,3269,phase_a_mechanism
noise_perimeter_error_change,seed_20260803,9.101184771383368,5.293477605413745,13.1592059450908,183,1087,phase_a_mechanism
noise_perimeter_error_change,seed_20260804,5.398533377708199,2.95646274152252,7.973603526325061,184,1098,phase_a_mechanism
noise_perimeter_error_change,seed_20260805,11.86802005954774,9.13577831527215,14.821078099123431,184,1084,phase_a_mechanism
noise_perimeter_error_change,model_baseline,7.625249206476298,4.708855281418736,10.795357071683588,184,1645,phase_a_mechanism
noise_perimeter_error_change,model_nc_aware_lambda_0p10,9.939640575808845,7.460765792073092,12.652104493733,184,1624,phase_a_mechanism
noise_perimeter_error_change,severity_10,-0.1928965750888139,-1.295359165542967,1.0269635054180013,184,1097,phase_a_mechanism
noise_perimeter_error_change,severity_20,5.233174850733858,2.6155804954311628,7.985270077936885,184,1095,phase_a_mechanism
noise_perimeter_error_change,severity_30,21.510484977795663,16.85167266855788,26.4635962617758,184,1077,phase_a_mechanism
noise_area_error_change,all,140.17834200061182,98.02147999616707,182.8048315313792,184,3269,phase_a_mechanism
noise_area_error_change,seed_20260803,105.83992640294387,50.46655556062891,163.66925232548215,183,1087,phase_a_mechanism
noise_area_error_change,seed_20260804,86.28688524590164,43.23658473708773,128.7231729183943,184,1098,phase_a_mechanism
noise_area_error_change,seed_20260805,229.19926199261997,180.86557438473545,279.5527653047613,184,1084,phase_a_mechanism
noise_area_error_change,model_baseline,117.3355623100304,70.06978751069732,163.51520723989026,184,1645,phase_a_mechanism
noise_area_error_change,model_nc_aware_lambda_0p10,163.31650246305418,120.95131464241727,207.2324778902079,184,1624,phase_a_mechanism
noise_area_error_change,severity_10,3.4275296262534183,-8.38356999952109,15.342212613347408,184,1097,phase_a_mechanism
noise_area_error_change,severity_20,86.21735159817352,44.49976252374764,127.55938827898105,184,1095,phase_a_mechanism
noise_area_error_change,severity_30,334.3314763231198,254.7894004689887,414.8396590918988,184,1077,phase_a_mechanism
noise_nc_error_change,all,0.0348665303423529,0.0082912479901258,0.0608520245316846,184,3269,phase_a_mechanism
noise_nc_error_change,seed_20260803,0.0200585246843842,-0.0053849719166284,0.0436042436209347,183,1087,phase_a_mechanism
noise_nc_error_change,seed_20260804,0.0188947760377728,-0.0138870899093273,0.0524596998138289,184,1098,phase_a_mechanism
noise_nc_error_change,seed_20260805,0.0658935491399922,0.0375077175790216,0.0946008077456543,184,1084,phase_a_mechanism
noise_nc_error_change,model_baseline,0.0351668926198628,0.0090002480456067,0.0600399327124734,184,1645,phase_a_mechanism
noise_nc_error_change,model_nc_aware_lambda_0p10,0.0345622840698752,0.0055663006757362,0.0631963561787751,184,1624,phase_a_mechanism
noise_nc_error_change,severity_10,-0.0030156927238632,-0.0111167608530667,0.0044778578015957,184,1097,phase_a_mechanism
noise_nc_error_change,severity_20,0.0170222481871583,-0.0102292108222204,0.0431292205062167,184,1095,phase_a_mechanism
noise_nc_error_change,severity_30,0.0915947454431675,0.0449675478112616,0.1391610195621765,184,1077,phase_a_mechanism
noise_dice_change,all,-0.0325359317880345,-0.0390584873979402,-0.0263565011700368,184,3269,phase_a_mechanism
noise_dice_change,seed_20260803,-0.0249386928649277,-0.0318492299190809,-0.0181492776963549,183,1087,phase_a_mechanism
noise_dice_change,seed_20260804,-0.0221221962153473,-0.0292675738631084,-0.0154934400888676,184,1098,phase_a_mechanism
