group,corruption,severity,model,seed,n_pairs,mean_abs_area_contrib,mean_abs_perimeter_contrib,mean_perimeter_minus_area,perimeter_dominant_fraction,max_identity_residual,perimeter_dominant_fraction_ci_lower,perimeter_dominant_fraction_ci_upper
Overall,Overall,all,all,all,3270,0.18595171545940073,0.24906936586305806,0.06311765040365741,0.6522935779816513,8.881784197001252e-16,0.6219828715987207,0.682569407606359
gaussian_noise,gaussian_noise,10,all,all,1097,0.03352399567850582,0.07831048160457628,0.04478648592607046,0.6855059252506837,4.996003610813204e-16,,
gaussian_noise,gaussian_noise,20,all,all,1095,0.13284464368722135,0.20613933271534687,0.0732946890281255,0.6575342465753424,6.106226635438361e-16,,
gaussian_noise,gaussian_noise,30,all,all,1078,0.3950105764892505,0.46644495243847406,0.07143437594922358,0.6131725417439703,8.881784197001252e-16,,
