cell_id,model,seed,severity_corr,degradation_corr,raw_direct_circularity_clean,raw_direct_circularity_corr,delta_log_circularity,area_contribution,perimeter_contribution,abs_area_contribution,abs_perimeter_contribution,dominant_component,identity_residual
148495842-148495854-001,baseline,20260803,10,gaussian_noise,0.5668724800709709,0.5689586296844326,0.0036733488655673304,-0.06250821627049519,0.06618156513606265,0.06250821627049519,0.06618156513606265,perimeter,-1.2750217548429532e-16
148495842-148495854-001,baseline,20260803,20,gaussian_noise,0.5668724800709709,0.30552736934076075,-0.6180950122846224,-0.3728816999243469,-0.24521331236027552,0.3728816999243469,0.24521331236027552,area,0.0
148495842-148495854-001,baseline,20260803,30,gaussian_noise,0.5668724800709709,0.272148940108214,-0.7337848852008841,-0.49107465565205766,-0.24271022954882643,0.49107465565205766,0.24271022954882643,area,0.0
148497551-148497588-001,baseline,20260803,10,gaussian_noise,0.8418706512768434,0.8463750025415272,0.005336145178556302,-0.0550667012159997,0.06040284639455626,0.0550667012159997,0.06040284639455626,perimeter,-2.5673907444456745e-16
148497551-148497588-001,baseline,20260803,20,gaussian_noise,0.8418706512768434,0.5897278186626859,-0.3559652754736514,-0.14762765855727492,-0.20833761691637667,0.14762765855727492,0.20833761691637667,perimeter,1.6653345369377348e-16
148497551-148497588-001,baseline,20260803,30,gaussian_noise,0.8418706512768434,0.09970270179865935,-2.1334336057450307,-0.6302154542131566,-1.5032181515318743,0.6302154542131566,1.5032181515318743,perimeter,4.440892098500626e-16
148497788-148497816-002,baseline,20260803,10,gaussian_noise,0.7710475937750548,0.7894507748384906,0.023587380372097753,0.0018948371372820376,0.021692543234815658,0.0018948371372820376,0.021692543234815658,perimeter,5.898059818321144e-17
148497788-148497816-002,baseline,20260803,20,gaussian_noise,0.7710475937750548,0.7332147461909502,-0.050311473724596587,-0.11228608059666341,0.061974606872066886,0.11228608059666341,0.061974606872066886,area,-6.245004513516506e-17
148497788-148497816-002,baseline,20260803,30,gaussian_noise,0.7710475937750548,0.46711759354079646,-0.5011690693186297,-0.33079846253530504,-0.17037060678332439,0.33079846253530504,0.17037060678332439,area,-2.220446049250313e-16
148503209-148503222-001,baseline,20260803,10,gaussian_noise,0.4610058300238485,0.49447770486939413,0.07009137444759785,-0.024860037319394977,0.09495141176699291,0.024860037319394977,0.09495141176699291,perimeter,-9.71445146547012e-17
148503209-148503222-001,baseline,20260803,20,gaussian_noise,0.4610058300238485,0.4032162383786171,-0.1339376996865552,-0.05894196620941385,-0.07499573347714134,0.05894196620941385,0.07499573347714134,perimeter,0.0
148503209-148503222-001,baseline,20260803,30,gaussian_noise,0.4610058300238485,0.278914352840849,-0.502505933760649,-0.21492644773830766,-0.2875794860223414,0.21492644773830766,0.2875794860223414,perimeter,0.0
148503209-148503231-001,baseline,20260803,10,gaussian_noise,0.3817004749400969,0.45661036971574215,0.17919424053370628,-0.03475179460719721,0.2139460351409033,0.03475179460719721,0.2139460351409033,perimeter,1.942890293094024e-16
148503209-148503231-001,baseline,20260803,20,gaussian_noise,0.3817004749400969,0.4652767917663664,0.19799627557987898,-0.18154617875833404,0.37954245433821304,0.18154617875833404,0.37954245433821304,perimeter,-2.7755575615628914e-17
148503209-148503231-001,baseline,20260803,30,gaussian_noise,0.3817004749400969,0.5285713846724864,0.3255416624986734,-0.2464648101324491,0.5720064726311227,0.2464648101324491,0.5720064726311227,perimeter,-1.6653345369377348e-16
148503400-148503432-001,baseline,20260803,10,gaussian_noise,0.483536952765034,0.5297849964337793,0.09134351751976236,-0.0075412769023116884,0.09888479442207389,0.0075412769023116884,0.09888479442207389,perimeter,1.5265566588595902e-16
148503400-148503432-001,baseline,20260803,20,gaussian_noise,0.483536952765034,0.521833913895028,0.07622162502493587,-0.04645293830588689,0.12267456333082251,0.04645293830588689,0.12267456333082251,perimeter,2.498001805406602e-16
148503400-148503432-001,baseline,20260803,30,gaussian_noise,0.483536952765034,0.3556389422886484,-0.30721173047347866,-0.07404777434370007,-0.2331639561297789,0.07404777434370007,0.2331639561297789,perimeter,2.7755575615628914e-16
148503568-148503580-002,baseline,20260803,10,gaussian_noise,0.7298473013097279,0.6974151177779591,-0.04545452462588547,-0.04033244200597174,-0.00512208261991347,0.04033244200597174,0.00512208261991347,area,-2.636779683484747e-16
148503568-148503580-002,baseline,20260803,20,gaussian_noise,0.7298473013097279,0.581115761252863,-0.22788535412727118,-0.15301172754012735,-0.07487362658714389,0.15301172754012735,0.07487362658714389,area,5.551115123125783e-17
148503568-148503580-002,baseline,20260803,30,gaussian_noise,0.7298473013097279,0.238994187974467,-1.1163961024366253,-0.5816516763346031,-0.5347444261020219,0.5816516763346031,0.5347444261020219,area,-4.440892098500626e-16
148718455-148718461-001,baseline,20260803,10,gaussian_noise,0.7361401113309993,0.7672341243650809,0.04137153241217832,-0.0032347532827090336,0.044606285694887476,0.0032347532827090336,0.044606285694887476,perimeter,-1.1796119636642288e-16
148718455-148718461-001,baseline,20260803,20,gaussian_noise,0.7361401113309993,0.7526783844325889,0.022217554986820983,-0.007409156376042629,0.029626711362863763,0.007409156376042629,0.029626711362863763,perimeter,-1.491862189340054e-16
148718455-148718461-001,baseline,20260803,30,gaussian_noise,0.7361401113309993,0.7545782975403732,0.024738577632476073,-0.02298415357612342,0.04772273120859931,0.02298415357612342,0.04772273120859931,perimeter,1.8388068845354155e-16
148719308-148719348-004,baseline,20260803,10,gaussian_noise,0.8318865439639348,0.8158109907692488,-0.019513366919912765,-0.05266382813120432,0.033150461211291574,0.05266382813120432,0.033150461211291574,area,-1.734723475976807e-17
