cell_id,benefit_area,benefit_perimeter,benefit_full,benefit_perimeter_minus_area
148495842-148495854-001,-0.0009600775913886084,-0.012032611449375508,-0.012825395940552542,-0.011254171418499825
148497551-148497588-001,0.0,-0.011768643084876795,-0.014154513063374341,-0.014085718271877212
148497788-148497816-002,0.011182866016226423,0.08917615720945093,0.08934751158130982,0.07799329119322451
148503209-148503222-001,0.0033703643714813047,0.04288302455634724,0.04655116309189672,0.03951266018486593
148503209-148503231-001,0.005859199717579644,0.06682387014234586,0.07225746718400683,0.06221557590592408
148503400-148503432-001,-0.001806586401132293,-0.1040344444643434,-0.11243664965100564,-0.10222785806321111
148503568-148503580-002,-0.002390588634934576,-0.03338558323012286,-0.036079685246632076,-0.03081240364217186
148718455-148718461-001,0.006185176089842259,0.11362760204146471,0.12086712278585765,0.10744242595162246
148719308-148719348-004,0.0005148707716378098,0.004698066326231931,0.005164651400438536,0.004234189071233518
148719308-148719357-001,0.0042397703052898805,0.042518293327180934,0.04301533717799921,0.03827852302189105
148848523-148848559-002,-0.0002746710519720974,-0.0038602753377687815,-0.004136178916987809,-0.003585604285796684
148881870-148882178-002,-0.001625622447312569,-0.015598567569363508,-0.01725526286043977,-0.01397294512205094
148882307-148882323-001,-0.002084511039686432,-0.13568801208223413,-0.14647439000226492,-0.13181258218555225
148882535-148882616-001,0.006258373184382493,0.045693837382720204,0.050777732457435165,0.041524749367923997
148882671-148882687-001,0.0044110537964767715,0.06255372438567286,0.06744021920600285,0.05814267058919609
149011613-149011656-001,0.009558898072353328,0.1091304026720692,0.0983260948905691,0.09997715480164582
149013033-149013072-001,0.0014031409177549525,0.010253674584300598,0.008744643746617653,0.008784164396679617
149014929-149014984-001,0.0,0.0,0.0,0.0
149014929-149015008-003,0.0022616318131231106,0.02921932403411953,0.0315976775144895,0.02695769222099642
149014929-149015022-001,0.0030962739728428446,0.029139754355845482,0.033517197179291136,0.02497668702424527
149014929-149015022-002,-0.003888479356703667,-0.05704120222307263,-0.061283871639180254,-0.05315272286636896
149053341-149053350-001,0.004223771779888086,0.041386475763540265,0.03653142217116023,0.03687696008751118
149053945-149053969-001,0.0022534267668079533,0.022476546640523676,0.024799483578081483,0.020225881557115466
149053945-149053976-001,0.008423836531250117,0.07121935589034012,0.08174546161812757,0.06408542388181704
149054642-149054677-003,0.0005838424329466241,0.003241290670310537,0.0010265500625111779,0.0010817477594091685
149056321-149056343-001,0.003496033598053727,0.052632896266077256,0.05638536845607611,0.04913686266802353
149056321-149056360-001,-0.002805928917191336,-0.0042669180337809864,-0.004684704759560843,-0.0038514261724869048
149056410-149056458-001,-0.0008971081527902047,-0.006879171587108379,-0.007783574725675035,-0.0059820634343181744
149056873-149056884-001,-0.0026156469851307262,-0.022650246097202786,-0.025605156525303818,-0.020133583154047452
149056873-149056884-002,0.0016084461850067733,0.01120384697397181,0.0127950262573292,0.009636616063198544
149056933-149056982-002,-0.0011507956629184246,-0.007294302103112105,-0.008455705088526555,-0.00614350644019368
149057756-149057766-002,-0.0009135928495069834,-0.013485691414374945,-0.014414371742622611,-0.012572098564867962
149057756-149057788-002,0.004749708428780197,0.05180568262647123,0.05574414986215159,0.048247004089655765
149057812-149057825-003,0.004689139937817832,0.04067698641058681,0.035869145148897164,0.03625631610798097
149057812-149057825-005,-0.0006182470406169704,-0.005702063291074699,-0.0063244795224968176,-0.005083816250457729
149057812-149057847-004,0.0,0.0,0.0,0.0
149057812-149057847-005,-0.0015860280636380564,-0.02141062207902067,-0.023039239511364884,-0.019824594015382613
149058262-149058272-003,0.001994495511160932,0.02229801673851184,0.0243707509048956,0.020303521227350907
149061666-149061699-003,0.0026791133600353456,0.02854285426759451,0.026873436643680693,0.025863740907559163
149095913-149095926-001,0.0073148063183675616,0.06774954265204758,0.07636613608439169,0.06078514280203029
149097324-149097373-001,0.0025401403091740438,-0.02399711297367857,-0.026650126885636727,-0.026537253282852613
149097594-149097637-001,0.004034125877972139,0.04150189117648795,0.045443801093021596,0.03783572526240908
149097594-149097637-002,0.0,0.0,0.0,0.0
149098972-149098988-002,-0.0009989251250215325,-0.012043617218998826,-0.0134931897981867,-0.010623377582093974
149099096-149099104-001,0.0,0.0,0.0,0.0
149099276-149099290-001,0.008093006220407872,0.09138331469303651,0.10152905523171707,0.08329030847262864
149099276-149099290-002,0.010235693452574135,0.03465402742931023,0.022444265013924047,0.024413122401448883
149099502-149099525-002,0.008888833140492491,0.04151376724882472,0.031020564509053217,0.032401829456005116
149100006-149100028-002,0.004081800716475237,0.014778028128736742,0.019156468095971324,0.010696227412261505
