roundness_group,n,AE_raw_mean,AE_raw_median,AE_raw_ci_low,AE_raw_ci_high,AE_area_only_mean,AE_area_only_median,AE_area_only_ci_low,AE_area_only_ci_high,AE_perimeter_only_mean,AE_perimeter_only_median,AE_perimeter_only_ci_low,AE_perimeter_only_ci_high,AE_full_mean,AE_full_median,AE_full_ci_low,AE_full_ci_high,benefit_area_mean,benefit_area_median,benefit_area_ci_low,benefit_area_ci_high,benefit_perimeter_mean,benefit_perimeter_median,benefit_perimeter_ci_low,benefit_perimeter_ci_high,benefit_full_mean,benefit_full_median,benefit_full_ci_low,benefit_full_ci_high,interaction_C_mean,interaction_C_median,interaction_C_ci_low,interaction_C_ci_high
under_circular,116,0.14496000623981214,0.12569940455117115,0.12297597432245343,0.16799249248420553,0.13703613612149382,0.11666779926966964,0.11550794405752711,0.15952403350727395,0.10610757809117771,0.06945974320270659,0.08508286014063639,0.12955783397049012,0.10071216388297356,0.059970880365744106,0.08003435764747772,0.12339941176878204,0.007606064414149557,0.004359980441499711,0.005697323865741023,0.010336533450893559,0.04182184877301764,0.039262326162798566,0.032970556559451254,0.0502618082349125,0.04690342431969671,0.036557407732482367,0.03756065214048526,0.05601524414864458,-0.000524982228538644,0.0004011632813899213,-0.003429964480305065,0.0010142563286010928
over_circular,68,0.08310155290875579,0.06084635433528446,0.06724597758863478,0.10051584651053523,0.08455298277670636,0.06104850248791316,0.06861071556510184,0.10200823967549921,0.099087845483792,0.07884479628065244,0.08223760477486752,0.11704824661922049,0.10073357382396464,0.07888830104943934,0.08374970424290305,0.11880663998827759,-0.0014957516130343939,-0.0010827050000452032,-0.0018087719015203766,-0.0011935264396694184,-0.014822674492100184,-0.011027268072287877,-0.018455738267037877,-0.01144238522721425,-0.016385549206124114,-0.012033193690338062,-0.020313570314105817,-0.012727129980719681,6.395708541916042e-05,1.8787267679232222e-05,4.08893127737635e-05,9.016452218702393e-05
equal,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
