roundness_group,n,mean_delta_closing_circularity_ae,median_delta_closing_circularity_ae,ci_low,ci_high,mean_closing_benefit
under_circular,116,-0.04424784235683858,-0.03336957344626479,-0.05416560871666167,-0.03410110903241177,0.04424784235683858
over_circular,68,0.017632020915208855,0.013265713435123005,0.013109533381190256,0.022474258318992864,-0.017632020915208855
