cell_id,delta_closing_circularity_ae,delta_null_circularity_ae,delta_specific_circularity_ae,closing_benefit_circularity_ae,null_benefit_circularity_ae
148495842-148495854-001,0.01602637400981033,0.010713732458034086,0.005312641551776243,-0.01602637400981033,-0.010713732458034086
148497551-148497588-001,0.02153115430806085,0.007212259603412985,0.014318894704647867,-0.02153115430806085,-0.007212259603412985
148497788-148497816-002,-0.08902436241033274,0.01488373508365115,-0.10390809749398389,0.08902436241033274,-0.01488373508365115
148503209-148503222-001,-0.04431228989121272,-0.03672363084491631,-0.007588659046296409,0.04431228989121272,0.03672363084491631
148503209-148503231-001,-0.0783362812822439,-0.001789382569042819,-0.07654689871320108,0.0783362812822439,0.001789382569042819
148503400-148503432-001,0.11243664965100564,0.011297306426854448,0.10113934322415119,-0.11243664965100564,-0.011297306426854448
148503568-148503580-002,0.03601922256120005,0.019948596008656616,0.016070626552543432,-0.03601922256120005,-0.019948596008656616
148718455-148718461-001,-0.13112016765672874,-0.014155174941110737,-0.116964992715618,0.13112016765672874,0.014155174941110737
148719308-148719348-004,-0.005595126118119409,-0.004877145416294804,-0.0007179807018246054,0.005595126118119409,0.004877145416294804
148719308-148719357-001,-0.04301533717799921,-0.009592884425711157,-0.03342245275228806,0.04301533717799921,0.009592884425711157
148848523-148848559-002,0.007826306221204504,-0.0010977246024453935,0.008924030823649898,-0.007826306221204504,0.0010977246024453935
148881870-148882178-002,0.014752428916928628,-0.006130267886875984,0.020882696803804612,-0.014752428916928628,0.006130267886875984
148882307-148882323-001,0.1443517107615907,0.006265665491275496,0.1380860452703152,-0.1443517107615907,-0.006265665491275496
148882535-148882616-001,-0.022519812790828098,0.0017989504319015914,-0.02431876322272969,0.022519812790828098,-0.0017989504319015914
148882671-148882687-001,-0.07879589795703046,-0.00816212218301715,-0.07063377577401331,0.07879589795703046,0.00816212218301715
149011613-149011656-001,-0.0983260948905691,-0.021364067922771568,-0.07696202696779753,0.0983260948905691,0.021364067922771568
149013033-149013072-001,-0.007503585257191636,-0.00036525142448229353,-0.007138333832709343,0.007503585257191636,0.00036525142448229353
149014929-149014984-001,0.008168437278313179,-0.002562065928386925,0.010730503206700104,-0.008168437278313179,0.002562065928386925
149014929-149015008-003,-0.04354886403240599,-0.008368997588286464,-0.03517986644411952,0.04354886403240599,0.008368997588286464
149014929-149015022-001,-0.03351719717929125,-0.007786036894232851,-0.025731160285058396,0.03351719717929125,0.007786036894232851
149014929-149015022-002,0.019405295897187036,-0.00034748009482726827,0.019752775992014304,-0.019405295897187036,0.00034748009482726827
149053341-149053350-001,-0.03653142217116023,-0.015479797312236587,-0.021051624858923645,0.03653142217116023,0.015479797312236587
149053945-149053969-001,-0.024799483578081483,-0.002227009747026387,-0.022572473831055095,0.024799483578081483,0.002227009747026387
149053945-149053976-001,-0.07909659002837188,-0.016962147984288634,-0.06213444204408325,0.07909659002837188,0.016962147984288634
149054642-149054677-003,-0.005481779839840328,-0.004698220571561773,-0.0007835592682785553,0.005481779839840328,0.004698220571561773
149056321-149056343-001,-0.05638536845607611,-0.0034837412923020006,-0.05290162716377411,0.05638536845607611,0.0034837412923020006
149056321-149056360-001,-0.01337765494833787,-0.005675098236473719,-0.00770255671186415,0.01337765494833787,0.005675098236473719
149056410-149056458-001,0.00796861218933742,0.006688612769319868,0.0012799994200175524,-0.00796861218933742,-0.006688612769319868
149056873-149056884-001,0.025605156525303818,0.0032218215422300522,0.022383334983073766,-0.025605156525303818,-0.0032218215422300522
149056873-149056884-002,-0.0127950262573292,0.008473249438916475,-0.021268275696245675,0.0127950262573292,-0.008473249438916475
149056933-149056982-002,0.008141057504104099,-0.002776621411204494,0.010917678915308593,-0.008141057504104099,0.002776621411204494
149057756-149057766-002,0.00725532801596529,-0.007880204271607849,0.015135532287573139,-0.00725532801596529,0.007880204271607849
149057756-149057788-002,0.21497465079563294,-0.0027646419081701623,0.2177392927038031,-0.21497465079563294,0.0027646419081701623
149057812-149057825-003,-0.035869145148897164,-0.001754561841981861,-0.0341145833069153,0.035869145148897164,0.001754561841981861
