cell_id,raw_circularity_signed_bias,closing_benefit_circularity_ae,spearman_rho_all_cells
148495842-148495854-001,0.1480747988283474,-0.01602637400981033,-0.7878561383907071
148497551-148497588-001,0.008447609322240535,-0.02153115430806085,-0.7878561383907071
148497788-148497816-002,-0.09872625580518368,0.08902436241033274,-0.7878561383907071
148503209-148503222-001,-0.30817096085927437,0.04431228989121272,-0.7878561383907071
148503209-148503231-001,-0.11578209186306188,0.0783362812822439,-0.7878561383907071
148503400-148503432-001,-0.0027111508307194887,-0.11243664965100564,-0.7878561383907071
148503568-148503580-002,0.18117885579786047,-0.03601922256120005,-0.7878561383907071
148718455-148718461-001,-0.14754338587436444,0.13112016765672874,-0.7878561383907071
148719308-148719348-004,-0.021452859224343257,0.005595126118119409,-0.7878561383907071
148719308-148719357-001,-0.05004608662644028,0.04301533717799921,-0.7878561383907071
148848523-148848559-002,0.018142761533494478,-0.007826306221204504,-0.7878561383907071
148881870-148882178-002,0.01330431241292318,-0.014752428916928628,-0.7878561383907071
148882307-148882323-001,-0.003477067784279808,-0.1443517107615907,-0.7878561383907071
148882535-148882616-001,-0.21135245867360303,0.022519812790828098,-0.7878561383907071
148882671-148882687-001,-0.26379122626624807,0.07879589795703046,-0.7878561383907071
149011613-149011656-001,-0.11850756543607155,0.0983260948905691,-0.7878561383907071
149013033-149013072-001,-0.01588084529235312,0.007503585257191636,-0.7878561383907071
149014929-149014984-001,0.05447972715047189,-0.008168437278313179,-0.7878561383907071
149014929-149015008-003,-0.2453909969731244,0.04354886403240599,-0.7878561383907071
149014929-149015022-001,-0.07940076754244074,0.03351719717929125,-0.7878561383907071
149014929-149015022-002,0.05209455429180221,-0.019405295897187036,-0.7878561383907071
149053341-149053350-001,-0.050261925202849556,0.03653142217116023,-0.7878561383907071
149053945-149053969-001,-0.14390668561596553,0.024799483578081483,-0.7878561383907071
149053945-149053976-001,-0.17280617777591611,0.07909659002837188,-0.7878561383907071
149054642-149054677-003,-0.011243443827698596,0.005481779839840328,-0.7878561383907071
149056321-149056343-001,-0.06906551408752337,0.05638536845607611,-0.7878561383907071
149056321-149056360-001,0.08996678077585618,0.01337765494833787,-0.7878561383907071
149056410-149056458-001,0.05458161539692552,-0.00796861218933742,-0.7878561383907071
149056873-149056884-001,0.008012873460987557,-0.025605156525303818,-0.7878561383907071
149056873-149056884-002,-0.01636056945126252,0.0127950262573292,-0.7878561383907071
149056933-149056982-002,0.0308958036464827,-0.008141057504104099,-0.7878561383907071
149057756-149057766-002,0.005779974814204114,-0.00725532801596529,-0.7878561383907071
149057756-149057788-002,-0.0927277129966243,-0.21497465079563294,-0.7878561383907071
149057812-149057825-003,-0.054007002718621355,0.035869145148897164,-0.7878561383907071
149057812-149057825-005,0.05220223596786755,-0.0063244795224968176,-0.7878561383907071
149057812-149057847-004,0.036199668126367546,0.0,-0.7878561383907071
149057812-149057847-005,0.0061783346747366075,-0.023920688931095446,-0.7878561383907071
149058262-149058272-003,-0.05505647061292129,0.026284067150528667,-0.7878561383907071
149061666-149061699-003,-0.042077667773443905,0.02938153012517375,-0.7878561383907071
149095913-149095926-001,-0.5807450759378812,0.07636613608439169,-0.7878561383907071
149097324-149097373-001,-0.004038901242082504,-0.010948223254424128,-0.7878561383907071
149097594-149097637-001,-0.2197123027328502,0.05430075313503974,-0.7878561383907071
149097594-149097637-002,0.06978109202247063,-0.004255665264203068,-0.7878561383907071
149098972-149098988-002,0.23306311004329044,-0.015907115124675908,-0.7878561383907071
149099096-149099104-001,0.05346777391157764,0.0,-0.7878561383907071
149099276-149099290-001,-0.25103803170396544,0.10093655225190623,-0.7878561383907071
149099276-149099290-002,-0.07624593457028028,0.0238805575929274,-0.7878561383907071
149099502-149099525-002,-0.07604940305932084,0.03111069977989589,-0.7878561383907071
149100006-149100028-002,-0.08771611810206253,0.0,-0.7878561383907071
149100064-149100072-001,-0.27067534179381325,0.15253016110549833,-0.7878561383907071
149101620-149101650-001,-0.010617820419891344,-0.01485829827265317,-0.7878561383907071
149102442-149102451-001,-0.10238854333362679,0.004078102881456491,-0.7878561383907071
149102510-149102519-001,0.04484799416785501,-0.03977614137394314,-0.7878561383907071
149105003-149105050-001,0.021350764738367167,0.0129263965534967,-0.7878561383907071
149105289-149105300-001,0.022513027091674798,0.0032768926837577483,-0.7878561383907071
149105289-149105300-002,-0.10475183711289693,0.030690986511265783,-0.7878561383907071
149105289-149105311-001,-0.27682915074920833,0.01840860785441789,-0.7878561383907071
149105289-149105311-003,-0.6169580392313998,0.04303147051959655,-0.7878561383907071
149105289-149105311-004,-0.4162409840202819,0.009485716968155422,-0.7878561383907071
149140081-149140096-002,-0.24600903239979566,0.06073145536799951,-0.7878561383907071
149140849-149140856-001,-0.009402096687252781,-0.053238926077290694,-0.7878561383907071
149143028-149143108-002,-0.035101904226728875,0.03095045876245739,-0.7878561383907071
