cell_id,class,model,delta_closing_circularity_ae,delta_null_circularity_ae,delta_specific_circularity_ae,delta_closing_perimeter_ae,delta_null_perimeter_ae,delta_specific_perimeter_ae,delta_closing_nc_ae,delta_null_nc_ae,delta_specific_nc_ae,delta_closing_area_ae,delta_null_area_ae,delta_specific_area_ae,delta_closing_nucleus_dice,delta_null_nucleus_dice,delta_specific_nucleus_dice,delta_closing_foreground_dice,delta_null_foreground_dice,delta_specific_foreground_dice,closing_benefit_circularity_ae,null_benefit_circularity_ae,raw_circularity_signed_bias,roundness_group,raw_invalid_rate,closing_invalid_rate,null_invalid_rate
148495842-148495854-001,light_dysplastic,nc_aware_lambda_0p10,0.0,0.0,0.0,0.5857864618301392,0.5857868194580078,-3.5762786865234375e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1482708943337505,over_circular,0.0,0.0,0.0
148497551-148497588-001,light_dysplastic,nc_aware_lambda_0p10,0.021774878606102943,-0.005247240775277939,0.027022119381380882,-0.15937960147857666,-0.15937936305999756,-2.384185791015625e-07,0.0005377242649566849,-0.017262773722627744,0.01780049798758443,4.0,-75.0,79.0,-0.0007135903760188134,0.007192179757806394,-0.007905770133825207,-0.0006588037958612514,0.007075649392945582,-0.0077344531888068335,-0.021774878606102943,0.005247240775277939,0.017035581867011595,over_circular,0.0,0.0,0.0
148497788-148497816-002,light_dysplastic,nc_aware_lambda_0p10,-0.06023202936130834,-0.007112465715997773,-0.053119563645310564,12.887301921844482,1.8162347078323364,11.071067214012146,-0.0012549772371920759,0.006763461151149036,-0.008018438388341112,-21.0,120.0,-141.0,0.005155787412653434,-0.012514957917666436,0.01767074533031987,0.0028072454434332483,-0.007480531822207537,0.010287777265640785,0.06023202936130834,0.007112465715997773,-0.11089669490751186,under_circular,0.0,0.0,0.0
148503209-148503222-001,light_dysplastic,nc_aware_lambda_0p10,-0.038074855563543064,-0.012315940896435895,-0.02575891466710717,-16.402020812034607,-6.7867971658706665,-9.61522364616394,0.0033472025833884977,-0.01639853995524687,0.01974574253863537,34.0,-112.0,146.0,-0.0007647307894436128,0.0007279393543693224,-0.0014926701438129353,0.0005661711555562388,-0.003308980037858289,0.0038751511934145277,0.038074855563543064,0.012315940896435895,-0.3385664946329289,under_circular,0.0,0.0,0.0
148503209-148503231-001,light_dysplastic,nc_aware_lambda_0p10,-0.04573612061910015,-0.01471635905047064,-0.03101976156862951,-25.774603605270386,-10.519771695137024,-15.254831910133362,0.012589655437053482,-0.05879387168654193,0.07138352712359541,44.0,-213.0,257.0,-0.0029228450498743896,0.014466065317677468,-0.017388910367551857,-0.0030107568432926612,0.014938520265552313,-0.017949277108844974,0.04573612061910015,0.01471635905047064,-0.09495002093393634,under_circular,0.0,0.0,0.0
148503400-148503432-001,light_dysplastic,nc_aware_lambda_0p10,-0.011578614305287949,-0.013172075619973023,0.001593461314685074,11.195957779884338,-2.9461777210235596,14.142135500907898,-0.004562244943734695,0.018149053996907916,-0.02271129894064261,-46.0,209.0,-255.0,0.003323703154409552,-0.012083016243895073,0.015406719398304625,0.0022114168569645765,-0.008107923800920958,0.010319340657885534,0.011578614305287949,0.013172075619973023,-0.07407288544646473,under_circular,0.0,0.0,0.0
148503568-148503580-002,light_dysplastic,nc_aware_lambda_0p10,0.029298905852978674,-0.0072194355223006434,0.03651834137527932,5.857864856719971,3.02943754196167,2.828427314758301,0.0030655195552017345,-0.034290182103615896,0.03735570165881763,9.0,43.0,-34.0,0.000186336414347954,0.0007943301831989658,-0.0006079937688510118,3.348204255804177e-05,0.0016641915476990343,-0.0016307095051409926,-0.029298905852978674,0.0072194355223006434,0.14618412155757826,over_circular,0.0,0.0,0.0
148718455-148718461-001,light_dysplastic,nc_aware_lambda_0p10,-0.12959882923583643,-0.0005428478850671992,-0.12905598135076923,-17.892353773117065,-3.992860436439514,-13.899493336677551,-0.003477232502191119,0.013670851774564174,-0.017148084276755293,-48.0,191.0,-239.0,0.0016967534896228376,-0.005887759543798388,0.007584513033421225,0.0011537236690516428,-0.003937504401607894,0.005091228070659537,0.12959882923583643,0.0005428478850671992,-0.13745768911338674,under_circular,0.0,0.0,0.0
148719308-148719348-004,light_dysplastic,nc_aware_lambda_0p10,-0.005292854009741332,0.0,-0.005292854009741332,0.10050547122955322,0.0,0.10050547122955322,-0.002290271311627401,0.00829819391725406,-0.01058846522888146,-1.0,0.0,-1.0,-0.00019333837369872597,0.0,-0.00019333837369872597,-0.00016829326901435238,0.0,-0.00016829326901435238,0.005292854009741332,0.0,-0.05389191049298059,under_circular,0.0,0.0,0.0
148719308-148719357-001,light_dysplastic,nc_aware_lambda_0p10,-0.03612229522134047,0.006707115496146776,-0.04282941071748725,-9.372583866119385,-4.544156551361084,-4.828427314758301,0.004315364435829694,-0.02330076894506994,0.027616133380899632,16.0,-11.0,27.0,4.598412239498195e-05,-0.002703142162051031,0.002749126284446013,-0.0003759517250433442,0.0009024351290901622,-0.0012783868541335064,0.03612229522134047,-0.006707115496146776,-0.04779597837982397,under_circular,0.0,0.0,0.0
