cell_id,abs_perimeter_contribution_median_existing,closing_benefit_circularity_ae,spearman_rho_all_cells
148495842-148495854-001,0.17027325904115712,-0.01602637400981033,-0.4770992660515112
148497551-148497588-001,0.06040284639455626,-0.02153115430806085,-0.4770992660515112
148497788-148497816-002,0.021692543234815658,0.08902436241033274,-0.4770992660515112
148503209-148503222-001,0.07499573347714134,0.04431228989121272,-0.4770992660515112
148503209-148503231-001,0.09793830321851882,0.0783362812822439,-0.4770992660515112
148503400-148503432-001,0.09888479442207389,-0.11243664965100564,-0.4770992660515112
148503568-148503580-002,0.18062746381817324,-0.03601922256120005,-0.4770992660515112
148718455-148718461-001,0.044606285694887476,0.13112016765672874,-0.4770992660515112
148719308-148719348-004,0.16600360297968736,0.005595126118119409,-0.4770992660515112
148719308-148719357-001,0.011143697593616157,0.04301533717799921,-0.4770992660515112
148848523-148848559-002,0.21719121724043958,-0.007826306221204504,-0.4770992660515112
148881870-148882178-002,0.4020466956413613,-0.014752428916928628,-0.4770992660515112
148882307-148882323-001,0.015920846091075143,-0.1443517107615907,-0.4770992660515112
148882535-148882616-001,0.06424066261052236,0.022519812790828098,-0.4770992660515112
148882671-148882687-001,0.10698724085356884,0.07879589795703046,-0.4770992660515112
149011613-149011656-001,0.004284458867340342,0.0983260948905691,-0.4770992660515112
149013033-149013072-001,0.06232081839196096,0.007503585257191636,-0.4770992660515112
149014929-149014984-001,0.06046865853991993,-0.008168437278313179,-0.4770992660515112
149014929-149015008-003,0.10388209997505327,0.04354886403240599,-0.4770992660515112
149014929-149015022-001,0.17033343769779535,0.03351719717929125,-0.4770992660515112
149014929-149015022-002,0.03467620725002204,-0.019405295897187036,-0.4770992660515112
149053341-149053350-001,0.06515434187620259,0.03653142217116023,-0.4770992660515112
149053945-149053969-001,0.15276953922452607,0.024799483578081483,-0.4770992660515112
149053945-149053976-001,0.03919048207220066,0.07909659002837188,-0.4770992660515112
149054642-149054677-003,0.18746816134454558,0.005481779839840328,-0.4770992660515112
149056321-149056343-001,0.023606444589581884,0.05638536845607611,-0.4770992660515112
149056321-149056360-001,0.07816148989640412,0.01337765494833787,-0.4770992660515112
149056410-149056458-001,0.3634523048200231,-0.00796861218933742,-0.4770992660515112
149056873-149056884-001,0.25385501336070004,-0.025605156525303818,-0.4770992660515112
149056873-149056884-002,0.17739104068927009,0.0127950262573292,-0.4770992660515112
149056933-149056982-002,0.08286776630551784,-0.008141057504104099,-0.4770992660515112
149057756-149057766-002,0.09771832912549196,-0.00725532801596529,-0.4770992660515112
149057756-149057788-002,0.0354340826845968,-0.21497465079563294,-0.4770992660515112
149057812-149057825-003,0.07766062110580403,0.035869145148897164,-0.4770992660515112
149057812-149057825-005,0.19101201220602546,-0.0063244795224968176,-0.4770992660515112
149057812-149057847-004,0.0980185798914305,0.0,-0.4770992660515112
149057812-149057847-005,0.06877689475268364,-0.023920688931095446,-0.4770992660515112
149058262-149058272-003,0.2890638922821492,0.026284067150528667,-0.4770992660515112
149061666-149061699-003,0.05973177946984401,0.02938153012517375,-0.4770992660515112
149095913-149095926-001,0.1134431994623176,0.07636613608439169,-0.4770992660515112
149097324-149097373-001,0.14207402118297616,-0.010948223254424128,-0.4770992660515112
149097594-149097637-001,0.168638865569724,0.05430075313503974,-0.4770992660515112
149097594-149097637-002,0.14680339271568862,-0.004255665264203068,-0.4770992660515112
149098972-149098988-002,0.06759253464678051,-0.015907115124675908,-0.4770992660515112
149099096-149099104-001,0.0529351668720246,0.0,-0.4770992660515112
149099276-149099290-001,0.1173863933908931,0.10093655225190623,-0.4770992660515112
149099276-149099290-002,0.021504757445099287,0.0238805575929274,-0.4770992660515112
149099502-149099525-002,0.011587004368076192,0.03111069977989589,-0.4770992660515112
149100006-149100028-002,0.5422013936408384,0.0,-0.4770992660515112
149100064-149100072-001,0.15331151922688493,0.15253016110549833,-0.4770992660515112
149101620-149101650-001,0.022180787434136956,-0.01485829827265317,-0.4770992660515112
149102442-149102451-001,0.10821650258646193,0.004078102881456491,-0.4770992660515112
149102510-149102519-001,0.08216679236114807,-0.03977614137394314,-0.4770992660515112
149105003-149105050-001,0.23060846859234532,0.0129263965534967,-0.4770992660515112
149105289-149105300-001,0.10126267317373855,0.0032768926837577483,-0.4770992660515112
149105289-149105300-002,0.26760537490398223,0.030690986511265783,-0.4770992660515112
149105289-149105311-001,0.14438904136401548,0.01840860785441789,-0.4770992660515112
149105289-149105311-003,0.349864090875322,0.04303147051959655,-0.4770992660515112
149105289-149105311-004,0.2045598152330974,0.009485716968155422,-0.4770992660515112
149140081-149140096-002,0.04620285651250501,0.06073145536799951,-0.4770992660515112
149140849-149140856-001,0.09449261271203918,-0.053238926077290694,-0.4770992660515112
149143028-149143108-002,0.034413830244369344,0.03095045876245739,-0.4770992660515112
149143469-149143497-003,0.04424685314451183,-0.023571759804481895,-0.4770992660515112
149146837-149146854-001,0.04793024114671153,-0.003906285408996846,-0.4770992660515112
149181904-149181927-001,0.14735967082284676,-0.016350111613263496,-0.4770992660515112
149181904-149181951-001,0.3790564168256344,0.01142862390111965,-0.4770992660515112
149182125-149182135-002,0.12805787542791838,-0.00424591428299137,-0.4770992660515112
149182657-149182667-001,0.41778499563112803,-0.02127721804139937,-0.4770992660515112
149182657-149182681-002,0.47774922978084805,0.005596725690277471,-0.4770992660515112
149182657-149182698-003,0.1845148175142034,-0.01044058947135229,-0.4770992660515112
149185604-149185616-001,0.5275774336845673,0.013150484288987574,-0.4770992660515112
149185604-149185645-003,0.6194272229639574,-0.0008416012113410254,-0.4770992660515112
149185604-149185657-001,0.33921574984875297,-0.03266620108560314,-0.4770992660515112
149185698-149185709-002,0.5385944489816661,-0.03273646471738889,-0.4770992660515112
149185788-149185824-001,0.44565303854163313,0.017279716347267993,-0.4770992660515112
149190861-149190868-001,0.003167852369235998,0.06035362431225577,-0.4770992660515112
149314453-149314465-001,0.017959654508510295,0.011382860280087725,-0.4770992660515112
149314453-149314507-001,0.1521356775403871,0.0,-0.4770992660515112
149314453-149314507-002,0.04679382357135051,-0.00767019989394091,-0.4770992660515112
149314679-149314698-001,0.23012550966632273,-0.018684734568213623,-0.4770992660515112
149315229-149315310-001,0.10639565252797815,0.004851435864915876,-0.4770992660515112
149315671-149315731-001,0.40262346890189477,-0.021007647843987676,-0.4770992660515112
149315671-149315740-001,0.2806907144393456,-0.004037143704356372,-0.4770992660515112
149316426-149316462-004,0.14087767105998378,-0.013917534826339617,-0.4770992660515112
149316754-149316779-002,0.08723461575739985,0.02995920539808139,-0.4770992660515112
149317002-149317010-002,0.34797233940795885,-0.034139781454341045,-0.4770992660515112
149317204-149317230-002,0.14460553761055567,-0.01710026005712273,-0.4770992660515112
149788987-149788996-003,0.013975303372961911,-0.07544611065120199,-0.4770992660515112
153268807-153268826-001,0.018098087306045788,0.12320650234404551,-0.4770992660515112
153276386-153276405-001,0.24860037742648922,-0.008450489649693083,-0.4770992660515112
153276386-153276405-002,0.33710692872650555,0.018945052753599312,-0.4770992660515112
153276386-153276414-001,0.16054152100826172,0.0,-0.4770992660515112
153314466-153314473-003,0.026337905645335682,0.10345607063229778,-0.4770992660515112
153654869-153654880-001,0.584173576832682,-0.10490709700292133,-0.4770992660515112
153655016-153655039-005,0.38000566619029913,0.019158060448042802,-0.4770992660515112
153655087-153655101-002,0.5410105746331236,0.03302235573182444,-0.4770992660515112
153656862-153656873-001,0.015512803681391196,0.07004495439971714,-0.4770992660515112
153657121-153657160-001,0.21417121439781328,-0.012371848560307153,-0.4770992660515112
153659229-153659264-001,0.08973614477630597,0.008525581049171782,-0.4770992660515112
153697342-153697375-001,0.08535527769836466,-0.01567122325659054,-0.4770992660515112
153697342-153697384-001,0.15482067694750465,-0.005414439200907339,-0.4770992660515112
153697726-153697736-001,0.01985837258868002,0.06490694218077131,-0.4770992660515112
153701009-153701019-002,0.12185655079433999,0.031839379568536774,-0.4770992660515112
153701622-153701650-001,0.10535232123263283,-0.003848030377896161,-0.4770992660515112
153701949-153701958-001,0.07471859288722964,-0.04383798000743988,-0.4770992660515112
153702037-153702051-003,0.1236961487496835,0.028112528297706607,-0.4770992660515112
153826963-153826970-001,0.6780824404081449,-0.03423552441222888,-0.4770992660515112
153826963-153826982-003,0.37601943740086835,-0.008688479159232765,-0.4770992660515112
153827595-153827657-002,0.06244027828578986,-0.00516297336479532,-0.4770992660515112
153828877-153828902-002,0.13062324633582517,-0.0072900760909374585,-0.4770992660515112
153828952-153828970-001,0.10459730709569028,0.02113054013417137,-0.4770992660515112
153828952-153829005-001,0.04571911942774123,-0.03405250310882757,-0.4770992660515112
153828952-153829005-002,0.2520371123510202,0.005555443406104477,-0.4770992660515112
153829664-153829672-001,0.02497459464097627,-0.005680335217120858,-0.4770992660515112
153829745-153829768-001,2.2872166754679624,0.06366449968544052,-0.4770992660515112
153829745-153829768-003,0.0856689793886593,0.02905614531140277,-0.4770992660515112
153830680-153830827-002,0.018581710210745634,0.01822879591854032,-0.4770992660515112
153831352-153831372-004,0.20497796870316345,0.02418414500277244,-0.4770992660515112
153915432-153915441-002,0.07174671794227325,0.016580551230961804,-0.4770992660515112
153915432-153915472-001,0.06401009354295552,0.04398991766986671,-0.4770992660515112
153915726-153915736-001,0.1535692149177806,0.018447237430712526,-0.4770992660515112
153916114-153916129-002,0.10905742223596364,0.04806038645795874,-0.4770992660515112
153916114-153916150-001,0.07016650953584773,-0.024874415951824158,-0.4770992660515112
153916114-153916167-001,0.11051350712059352,-0.012786336863893077,-0.4770992660515112
153916569-153916586-001,0.2212996781248381,-0.03670837015860817,-0.4770992660515112
153956040-153956058-001,0.14226662550800262,0.04454152039134884,-0.4770992660515112
153956040-153956058-003,0.12686021690067337,0.005400192450109587,-0.4770992660515112
153956040-153956072-003,0.1439863794702811,-0.034401810102137276,-0.4770992660515112
153956444-153956458-004,0.027280204588724027,0.027927206535971583,-0.4770992660515112
153958154-153958211-001,0.047752313480575515,0.01543154753329723,-0.4770992660515112
153958547-153958572-002,0.3045380817956632,-0.007078629152838634,-0.4770992660515112
153958547-153958572-006,0.28984627281591224,0.0013186977474215489,-0.4770992660515112
153958547-153958572-008,0.11083056941934533,-0.0051481900555175875,-0.4770992660515112
153958547-153958572-009,0.02532964983987548,0.01508984518103651,-0.4770992660515112
153958547-153958590-002,0.5055379448167625,0.013552645578407962,-0.4770992660515112
154519964-154519981-001,0.05955666872482725,-0.05587050246702907,-0.4770992660515112
157181481-157181497-004,0.19645672353180613,-0.03699595307232806,-0.4770992660515112
157181671-157181697-001,0.0,0.0877175155862433,-0.4770992660515112
157183193-157183279-001,0.0,0.10200759498754586,-0.4770992660515112
157183828-157183877-001,0.0,0.11158133620257427,-0.4770992660515112
157183964-157183980-001,0.0575012114602046,0.13345073025545984,-0.4770992660515112
157184013-157184031-001,0.10809468346392402,0.14166213780809467,-0.4770992660515112
157184850-157184920-002,0.16352743134361003,-0.02420358589708571,-0.4770992660515112
157184850-157184942-001,0.018542346339623147,0.05266766397240785,-0.4770992660515112
157185208-157185238-001,0.008032777416645515,0.07084185650339292,-0.4770992660515112
157185433-157185479-002,0.24844379485405782,-0.025962167886187104,-0.4770992660515112
157185433-157185479-003,0.1522557629642607,-0.009592875152203861,-0.4770992660515112
157185433-157185479-004,0.293689504623091,0.0,-0.4770992660515112
157185433-157185479-006,0.20890794228504822,0.0,-0.4770992660515112
157185433-157185508-001,0.2867760223741318,-0.022983676306981504,-0.4770992660515112
157185730-157185758-001,0.22944558473859084,-0.008094390914436922,-0.4770992660515112
157185781-157185793-003,0.15816107821829442,0.0,-0.4770992660515112
157222534-157222607-001,0.01718051182083402,0.10428719446267665,-0.4770992660515112
157222647-157222687-001,0.007307061524687203,0.10769702694389138,-0.4770992660515112
157222801-157222811-001,0.02474035187457977,0.03322194971323833,-0.4770992660515112
157223549-157223570-001,0.0,0.10830243079131852,-0.4770992660515112
157224412-157224429-001,0.0,0.0652210274972782,-0.4770992660515112
157224458-157224464-001,0.061041705653280806,0.09126663577887295,-0.4770992660515112
157224458-157224483-001,0.0,0.09203268668928222,-0.4770992660515112
157227058-157227087-001,0.31975030216338973,0.003648659561350742,-0.4770992660515112
157227461-157227503-003,0.11972386596320428,-0.01624778458786902,-0.4770992660515112
157266930-157266947-001,0.329233527478118,-0.06810199525389604,-0.4770992660515112
157268504-157268544-001,0.0859943279994987,0.07965461858963196,-0.4770992660515112
158986766-158986776-001,0.008459705436304215,0.013242857634080174,-0.4770992660515112
158986813-158986820-001,0.024015670364021652,0.0,-0.4770992660515112
158986920-158986928-004,1.0979560910952164,-0.018258486393048834,-0.4770992660515112
204870858-204870872-001,0.10029368158903974,-0.013745090006352934,-0.4770992660515112
204870951-204870961-002,0.026202932301021206,0.08117441152003785,-0.4770992660515112
204871030-204871038-001,0.03192453369359337,0.07193595028443833,-0.4770992660515112
204871030-204871038-002,0.03002259278071714,0.13374885334645958,-0.4770992660515112
209047342-209047443-001,0.07838312003967894,0.02465285895922331,-0.4770992660515112
209047526-209047626-001,0.007661339147916704,0.1013696021760514,-0.4770992660515112
209047526-209047798-001,0.011762034667308217,0.07168420884027071,-0.4770992660515112
209307421-209307504-001,0.032966485165653175,0.11895976225566463,-0.4770992660515112
209522474-209522522-001,0.01431385182915408,0.0711002651292284,-0.4770992660515112
209522940-209522970-001,0.0,0.12712899989825277,-0.4770992660515112
209565409-209565503-001,0.00789819132833704,0.11505385719373518,-0.4770992660515112
209565409-209565600-001,0.0,0.05984358999532402,-0.4770992660515112
209565864-209565890-001,0.041018761918830686,0.16386872553815646,-0.4770992660515112
209565864-209565911-001,0.03534706183379654,0.11505385719373518,-0.4770992660515112
209566047-209566095-001,0.0,0.13590998432441403,-0.4770992660515112
209566205-209566247-001,0.03700538640210362,0.13398853842122949,-0.4770992660515112
209566205-209566289-001,0.0,0.05902727016248355,-0.4770992660515112
209566399-209566485-001,0.03521814920620556,0.09746292011266955,-0.4770992660515112
