scope,n,mean_delta_nc_error,median_delta_nc_error,delta_q1,delta_q3,delta_p90,win_rate_nc_aware,win_rate_baseline,tie_rate,bootstrap_mean_delta,bootstrap_ci_low,bootstrap_ci_high,permutation_pvalue
seed_20260803,110,-0.03298140322261965,-0.01174958526427627,-0.12714209805904036,0.06892028891597068,0.21826286025710612,0.5909090909090909,0.4090909090909091,0.0,-0.03298140322261965,-0.08217865132178379,0.017082515940449832,0.1929614077184563
seed_20260804,110,0.0092288822234777,-0.0005160445679867325,-0.0625869905261659,0.060649816334262946,0.18155545355020655,0.5,0.5,0.0,0.0092288822234777,-0.01762233691920632,0.03584293054114753,0.5122975404919016
seed_20260805,110,0.013865859103186355,-0.0024516249062525707,-0.044323091298583084,0.04306572600221284,0.15307572683380516,0.5727272727272728,0.42727272727272725,0.0,0.013865859103186355,-0.028148829998558503,0.05987053322110385,0.5428914217156569
combined,330,-0.0032955539653185323,-0.0025135976747957655,-0.07278857294160551,0.05871845194513803,0.1815554535502069,0.5545454545454546,0.44545454545454544,0.0,-0.0032955539653185323,-0.0272910590913861,0.020202468887688018,0.7856428714257149
