seed,cell_id,class,delta_nc_error,delta_foreground_dice,delta_nucleus_dice,delta_cytoplasm_dice,delta_circularity_error,delta_nucleus_area_error,delta_cytoplasm_area_error,baseline_nc_error,nc_aware_nc_error,baseline_foreground_dice,nc_aware_foreground_dice
20260803,148497676-148497704-001,light_dysplastic,0.02885539750813826,0.0006889214173243507,-0.016004717590325068,0.01738256042497377,-0.022958138876021272,106.0,216.0,0.0552493592584018,0.08410475676654006,0.9345988576394116,0.935287779056736
20260803,148499274-148499302-001,light_dysplastic,0.0086909680888283,-0.0013241852031815604,0.014895578063317871,-0.017543948469680992,-0.01700064251270994,35.0,77.0,0.01996403153977283,0.02865499962860113,0.9273012316128402,0.9259770464096586
20260803,148499383-148499424-002,light_dysplastic,0.11990479222024986,-0.04355003135471369,-0.05095897847580888,-0.03614108423361828,-0.01314015138582536,511.0,849.0,0.09744261750424013,0.21734740972449,0.8767689597019959,0.8332189283472822
20260803,148500154-148500165-001,light_dysplastic,0.12032262328398793,-0.0506632845540389,-0.0790714363400481,-0.022255132768029595,0.14609652949861507,1100.0,1036.0,0.21571661340742063,0.33603923669140856,0.7804345047464043,0.7297712201923654
20260803,148503400-148503424-001,light_dysplastic,-0.007677277270854044,0.04687742576571563,0.06920515806146688,0.024549693469964273,0.07978618803115112,-735.0,530.0,0.03139210913080401,0.023714831859949964,0.8640759769707484,0.9109534027364641
20260803,148503900-148503914-001,light_dysplastic,0.44117165161612115,-0.0699964011976455,-0.006166944729093737,-0.13382585766619726,0.014143629584231876,71.0,1613.0,0.18430238415203226,0.6254740357681534,0.8256467710072357,0.7556503698095902
20260803,148719308-148719348-002,light_dysplastic,0.02997218940690005,-0.016180021937960865,-0.00041738015472181367,-0.031942663721199915,-0.0020957636538907476,-37.0,285.0,0.0933907784277569,0.12336296783465694,0.9366223699788752,0.9204423480409143
20260803,148881729-148881744-001,light_dysplastic,-0.03764214675058762,0.1048823050364236,0.15059298096269924,0.05917162911014795,-0.10750914498096087,-1522.0,-715.0,0.05052101120618942,0.012878864455601796,0.8232338451365762,0.9281161501729998
20260803,148884702-148884710-002,light_dysplastic,0.1704669461696283,-0.07423791419962311,-0.11433527167244151,-0.03414055672680483,0.2512011076775221,1958.0,5141.0,0.1193565875884817,0.28982353375811,0.7686745467439192,0.6944366325442961
20260803,149014929-149015008-002,moderate_dysplastic,0.28247732472473797,0.004648639598355819,-0.008244845714055815,0.01754212491076751,-0.09560956638327023,97.0,-1783.0,0.23744931000666014,0.5199266347313981,0.5439700883922824,0.5486187279906383
