class,n,baseline_mean_nc_error,baseline_median_nc_error,nc_aware_mean_nc_error,nc_aware_median_nc_error,relative_change,win_rate,dice_change,circularity_error_change
carcinoma_in_situ,63,0.747662490831699,0.302467067925141,0.7249578264124235,0.24397985116946108,-0.03036753173750752,0.5238095238095238,-0.01908810248617676,0.003326212466010628
light_dysplastic,66,0.1167532976466161,0.0788245619803915,0.11582649154433161,0.07586860856126015,-0.007938157816233216,0.5303030303030303,0.00259183642212657,-0.011526463820471011
moderate_dysplastic,42,0.2118530570205429,0.157767657918954,0.210917698076078,0.1656442241407718,-0.004415130740238601,0.5714285714285714,0.004001309446189261,0.011750994192974665
normal_columnar,39,0.14277804803783964,0.11376038573364922,0.12697195238646275,0.0724325301851455,-0.11070396232891411,0.6153846153846154,-0.0040143607613042365,0.004253798317263621
normal_intermediate,21,0.007616473857482863,0.003290359069350126,0.012374608162386438,0.006830698678020518,0.6247161605142135,0.5238095238095238,-0.020301797252227693,0.01760213268589486
normal_superficiel,27,0.007237398910761473,0.002452892556047701,0.0060612593891505966,0.002090200244819415,-0.16250859405608342,0.5925925925925926,0.010859824801994322,-0.019498654068164673
severe_dysplastic,72,0.262036470096698,0.16549786663445842,0.27580852572672243,0.13068479141407213,0.05255778184213134,0.5555555555555556,-0.019157801520677697,0.014428064994139789
