seed,model,epoch,segmentation_loss,raw_nc_loss,lambda_nc,weighted_nc_loss,total_loss,weighted_nc_fraction
20260803,baseline,1,1.1000595948912881,0.0,0.0,0.0,1.1000595948912881,0.0
20260803,baseline,2,0.8857562411915172,0.0,0.0,0.0,0.8857562411915172,0.0
20260803,baseline,3,0.7978906479748813,0.0,0.0,0.0,0.7978906479748813,0.0
20260803,baseline,4,0.7520160187374462,0.0,0.0,0.0,0.7520160187374462,0.0
20260803,baseline,5,0.6976361242207614,0.0,0.0,0.0,0.6976361242207614,0.0
20260803,baseline,6,0.6873440612446178,0.0,0.0,0.0,0.6873440612446178,0.0
20260803,baseline,7,0.6683808716860684,0.0,0.0,0.0,0.6683808716860684,0.0
20260803,baseline,8,0.6464520253918388,0.0,0.0,0.0,0.6464520253918388,0.0
20260803,baseline,9,0.6120585246519609,0.0,0.0,0.0,0.6120585246519609,0.0
20260803,baseline,10,0.6373243380676616,0.0,0.0,0.0,0.6373243380676616,0.0
20260803,baseline,11,0.5852384393865412,0.0,0.0,0.0,0.5852384393865412,0.0
20260803,baseline,12,0.5559754490852356,0.0,0.0,0.0,0.5559754490852356,0.0
20260803,baseline,13,0.5635024861855941,0.0,0.0,0.0,0.5635024861855941,0.0
20260803,baseline,14,0.5615129898894917,0.0,0.0,0.0,0.5615129898894917,0.0
20260803,baseline,15,0.5277686574242332,0.0,0.0,0.0,0.5277686574242332,0.0
20260803,baseline,16,0.5435950723561374,0.0,0.0,0.0,0.5435950723561374,0.0
20260803,baseline,17,0.5283081260594454,0.0,0.0,0.0,0.5283081260594454,0.0
20260803,baseline,18,0.499573074687611,0.0,0.0,0.0,0.499573074687611,0.0
20260803,baseline,19,0.49162633906711234,0.0,0.0,0.0,0.49162633906711234,0.0
20260803,baseline,20,0.47089532884684476,0.0,0.0,0.0,0.47089532884684476,0.0
20260804,baseline,1,1.1120370984077455,0.0,0.0,0.0,1.1120370984077455,0.0
20260804,baseline,2,0.8703342546116222,0.0,0.0,0.0,0.8703342546116222,0.0
20260804,baseline,3,0.7642310131679881,0.0,0.0,0.0,0.7642310131679881,0.0
20260804,baseline,4,0.7382496183568781,0.0,0.0,0.0,0.7382496183568781,0.0
20260804,baseline,5,0.6976838827133178,0.0,0.0,0.0,0.6976838827133178,0.0
20260804,baseline,6,0.6671572891148654,0.0,0.0,0.0,0.6671572891148654,0.0
20260804,baseline,7,0.664506689526818,0.0,0.0,0.0,0.664506689526818,0.0
20260804,baseline,8,0.6113313566554677,0.0,0.0,0.0,0.6113313566554677,0.0
20260804,baseline,9,0.6378251693465493,0.0,0.0,0.0,0.6378251693465493,0.0
20260804,baseline,10,0.5815410093827681,0.0,0.0,0.0,0.5815410093827681,0.0
20260804,baseline,11,0.5797180040316148,0.0,0.0,0.0,0.5797180040316148,0.0
20260804,baseline,12,0.5774649191986431,0.0,0.0,0.0,0.5774649191986431,0.0
20260804,baseline,13,0.5611538903279738,0.0,0.0,0.0,0.5611538903279738,0.0
20260804,baseline,14,0.5432815074920654,0.0,0.0,0.0,0.5432815074920654,0.0
20260804,baseline,15,0.5383651646700772,0.0,0.0,0.0,0.5383651646700772,0.0
20260804,baseline,16,0.5236408000642603,0.0,0.0,0.0,0.5236408000642603,0.0
20260804,baseline,17,0.5089484079317613,0.0,0.0,0.0,0.5089484079317613,0.0
20260804,baseline,18,0.49653869758952746,0.0,0.0,0.0,0.49653869758952746,0.0
20260804,baseline,19,0.4826040723107078,0.0,0.0,0.0,0.4826040723107078,0.0
20260804,baseline,20,0.4722757453268224,0.0,0.0,0.0,0.4722757453268224,0.0
20260804,baseline,21,0.45281056599183517,0.0,0.0,0.0,0.45281056599183517,0.0
20260804,baseline,22,0.44481928294355216,0.0,0.0,0.0,0.44481928294355216,0.0
20260804,baseline,23,0.4562676771120592,0.0,0.0,0.0,0.4562676771120592,0.0
20260804,baseline,24,0.4319126611406153,0.0,0.0,0.0,0.4319126611406153,0.0
20260804,baseline,25,0.42146466211839156,0.0,0.0,0.0,0.42146466211839156,0.0
20260805,baseline,1,1.1007041876966304,0.0,0.0,0.0,1.1007041876966304,0.0
20260805,baseline,2,0.8640204592184587,0.0,0.0,0.0,0.8640204592184587,0.0
20260805,baseline,3,0.7995258439670909,0.0,0.0,0.0,0.7995258439670909,0.0
20260805,baseline,4,0.7387684887105769,0.0,0.0,0.0,0.7387684887105769,0.0
20260805,baseline,5,0.7304385662078857,0.0,0.0,0.0,0.7304385662078857,0.0
20260805,baseline,6,0.6928853956135836,0.0,0.0,0.0,0.6928853956135836,0.0
20260805,baseline,7,0.636257654428482,0.0,0.0,0.0,0.636257654428482,0.0
20260805,baseline,8,0.6760127040472897,0.0,0.0,0.0,0.6760127040472897,0.0
20260805,baseline,9,0.6096396727995439,0.0,0.0,0.0,0.6096396727995439,0.0
20260805,baseline,10,0.5843321372162212,0.0,0.0,0.0,0.5843321372162212,0.0
20260805,baseline,11,0.5906161519614133,0.0,0.0,0.0,0.5906161519614133,0.0
20260805,baseline,12,0.5903634158047762,0.0,0.0,0.0,0.5903634158047762,0.0
20260805,baseline,13,0.5701739918101918,0.0,0.0,0.0,0.5701739918101918,0.0
20260805,baseline,14,0.5774302179163152,0.0,0.0,0.0,0.5774302179163152,0.0
20260805,baseline,15,0.5414047078652815,0.0,0.0,0.0,0.5414047078652815,0.0
20260805,baseline,16,0.5183981163935227,0.0,0.0,0.0,0.5183981163935227,0.0
20260805,baseline,17,0.5177268326282501,0.0,0.0,0.0,0.5177268326282501,0.0
20260805,baseline,18,0.5128700570626692,0.0,0.0,0.0,0.5128700570626692,0.0
20260805,baseline,19,0.4929303380576047,0.0,0.0,0.0,0.4929303380576047,0.0
20260805,baseline,20,0.46371171420270746,0.0,0.0,0.0,0.46371171420270746,0.0
20260805,baseline,21,0.4646105847575448,0.0,0.0,0.0,0.4646105847575448,0.0
20260805,baseline,22,0.4551990725777366,0.0,0.0,0.0,0.4551990725777366,0.0
20260805,baseline,23,0.44039876731959254,0.0,0.0,0.0,0.44039876731959254,0.0
20260805,baseline,24,0.42287921092726966,0.0,0.0,0.0,0.42287921092726966,0.0
20260805,baseline,25,0.42940018664706836,0.0,0.0,0.0,0.42940018664706836,0.0
20260803,nc_aware_lambda_0p10,1,1.1226381334391506,0.5937377727167172,0.1,0.05937377727167173,1.1820119107108225,0.0502311158911811
20260803,nc_aware_lambda_0p10,2,0.8961610826579007,0.5228301833976399,0.1,0.05228301833976399,0.9484441009976647,0.05512503929832837
20260803,nc_aware_lambda_0p10,3,0.810376087102023,0.4616857328875498,0.1,0.04616857328875498,0.856544660390778,0.05390095277424492
20260803,nc_aware_lambda_0p10,4,0.7534448276866567,0.42653909318826416,0.1,0.04265390931882642,0.7960987370054831,0.05357866723827329
20260803,nc_aware_lambda_0p10,5,0.7225782708688215,0.37681829766793684,0.1,0.037681829766793684,0.7602601006356152,0.04956439215380342
20260803,nc_aware_lambda_0p10,6,0.7077702955766157,0.34793073656884105,0.1,0.0347930736568841,0.7425633692334999,0.04685535955375599
20260803,nc_aware_lambda_0p10,7,0.6710001853379336,0.3360709967261011,0.1,0.03360709967261011,0.7046072850105437,0.04769621374565722
20260803,nc_aware_lambda_0p10,8,0.6621981609951366,0.3142515149983493,0.1,0.03142515149983493,0.6936233124949716,0.04530578908427728
20260803,nc_aware_lambda_0p10,9,0.6220107360319658,0.2358882594514977,0.1,0.02358882594514977,0.6455995619771155,0.03653785927752212
20260803,nc_aware_lambda_0p10,10,0.6454224429347298,0.2863047396764159,0.1,0.028630473967641592,0.6740529169023715,0.042475113228815496
20260803,nc_aware_lambda_0p10,11,0.5885855815627358,0.2348667035387321,0.1,0.02348667035387321,0.612072251916609,0.03837238214986606
20260803,nc_aware_lambda_0p10,12,0.5681642922488126,0.1991956164213744,0.1,0.019919561642137443,0.5880838538909501,0.033871975076927005
20260803,nc_aware_lambda_0p10,13,0.5644557183439082,0.2276248467408798,0.1,0.02276248467408798,0.5872182030179962,0.038763247728188
20260803,nc_aware_lambda_0p10,14,0.5632626582275737,0.220478592813015,0.1,0.0220478592813015,0.5853105175088752,0.03766865385426323
20260803,nc_aware_lambda_0p10,15,0.5331443244760686,0.1719576186415824,0.1,0.017195761864158242,0.5503400863402269,0.03124570114183471
20260803,nc_aware_lambda_0p10,16,0.5377728445963426,0.19610503911972046,0.1,0.019610503911972048,0.5573833485083146,0.03518315350548997
20260803,nc_aware_lambda_0p10,17,0.5156569415872747,0.1575500446625731,0.1,0.01575500446625731,0.531411946053532,0.029647441280272278
20260803,nc_aware_lambda_0p10,18,0.4947373054244302,0.14608180035244334,0.1,0.014608180035244334,0.5093454854596745,0.02868029746461919
20260803,nc_aware_lambda_0p10,19,0.4950146886435422,0.15001457611268218,0.1,0.01500145761126822,0.5100161462548104,0.02941369154962656
20260803,nc_aware_lambda_0p10,20,0.47227257652716204,0.1434997412630103,0.1,0.01434997412630103,0.48662255065346305,0.029488921356051235
20260803,nc_aware_lambda_0p10,21,0.47342286760156804,0.16004476430402562,0.1,0.01600447643040256,0.4894273440319706,0.03270041330048186
20260803,nc_aware_lambda_0p10,22,0.46034631674939935,0.13432318359105425,0.1,0.013432318359105425,0.47377863510850476,0.0283514649326244
20260803,nc_aware_lambda_0p10,23,0.45279419259591536,0.12176997585391457,0.1,0.012176997585391458,0.46497119018130684,0.02618871414515653
20260803,nc_aware_lambda_0p10,24,0.4405244014479897,0.1230276878584515,0.1,0.012302768785845151,0.45282717023383484,0.027168795502028158
20260803,nc_aware_lambda_0p10,25,0.4292795408855785,0.09752483291720802,0.1,0.009752483291720803,0.4390320241772993,0.022213603460922812
