family,split,seed,model,degradation,metric,expected_direction,values_by_severity,trend_label,target
segmentation_morphometry,test,20260805,nc_aware_lambda_0p10,gaussian_blur,foreground_dice,decrease,0.811649|0.812543|0.809349,partially_monotonic,
segmentation_morphometry,test,20260805,nc_aware_lambda_0p10,gaussian_blur,mean_nc_absolute_error,increase,0.301704|0.304061|0.315292,fully_monotonic,
segmentation_morphometry,test,20260805,nc_aware_lambda_0p10,gaussian_blur,mean_circularity_absolute_error,increase,0.131585|0.126363|0.123936,inconsistent,
segmentation_morphometry,test,20260805,nc_aware_lambda_0p10,gaussian_blur,invalid_nc_rate,increase,0|0|0,partially_monotonic,
segmentation_morphometry,test,20260805,nc_aware_lambda_0p10,gaussian_noise,foreground_dice,decrease,0.801606|0.746637|0.584244,fully_monotonic,
segmentation_morphometry,test,20260805,nc_aware_lambda_0p10,gaussian_noise,mean_nc_absolute_error,increase,0.314542|0.387243|0.566393,fully_monotonic,
segmentation_morphometry,test,20260805,nc_aware_lambda_0p10,gaussian_noise,mean_circularity_absolute_error,increase,0.164299|0.234811|0.327782,fully_monotonic,
segmentation_morphometry,test,20260805,nc_aware_lambda_0p10,gaussian_noise,invalid_nc_rate,increase,0|0|0,partially_monotonic,
conformal,test,20260803,baseline,gaussian_blur,empirical_coverage,decrease,0.902174|0.896739|0.902174,partially_monotonic,nc
conformal,test,20260803,baseline,gaussian_blur,coverage_gap,decrease,0.00217391|-0.00326087|0.00217391,partially_monotonic,nc
conformal,test,20260803,baseline,gaussian_blur,interval_mean_width,increase,1.71594|1.71594|1.71594,partially_monotonic,nc
conformal,test,20260803,baseline,gaussian_blur,invalid_rate,increase,0|0|0,partially_monotonic,nc
conformal,test,20260803,baseline,gaussian_noise,empirical_coverage,decrease,0.902174|0.88587|0.831522,fully_monotonic,nc
conformal,test,20260803,baseline,gaussian_noise,coverage_gap,decrease,0.00217391|-0.0141304|-0.0684783,fully_monotonic,nc
conformal,test,20260803,baseline,gaussian_noise,interval_mean_width,increase,1.71594|1.71594|1.71594,partially_monotonic,nc
conformal,test,20260803,baseline,gaussian_noise,invalid_rate,increase,0|0|0,partially_monotonic,nc
conformal,test,20260803,baseline,gaussian_blur,empirical_coverage,decrease,0.846154|0.857143|0.868852,inconsistent,circularity
