seed,degradation,severity,baseline_foreground_dice,nc_aware_foreground_dice,dice_delta_nc_aware_minus_baseline,baseline_mean_nc_error,nc_aware_mean_nc_error,mean_nc_error_delta_nc_aware_minus_baseline,baseline_circularity_error,nc_aware_circularity_error,circularity_error_delta_nc_aware_minus_baseline
20260803,clean,clean,0.8014072099611532,0.8142844728878987,0.012877262926745514,0.3160617128987805,0.34197697100981683,0.025915258111036343,0.14022004451398964,0.14065447638881365,0.0004344318748240039
20260803,gaussian_blur,1.0,0.7994806604853771,0.8132542365116112,0.01377357602623408,0.3221841658308381,0.33576125194514234,0.013577086114304249,0.13790243942908942,0.13961893372610218,0.0017164942970127606
20260803,gaussian_blur,2.0,0.7954776279940391,0.809947714228415,0.014470086234375956,0.331006613472685,0.3251341558712926,-0.0058724576013924334,0.13045126571219753,0.13568523666021656,0.005233970948019029
20260803,gaussian_blur,3.0,0.789820853567381,0.803434010327944,0.013613156760563072,0.3409158996959423,0.328198689823465,-0.01271720987247732,0.1285246642338839,0.13186917940028267,0.003344515166398776
20260803,gaussian_noise,10.0,0.8032705799783615,0.8138169095773936,0.010546329599032123,0.30872082795651296,0.33570661601642865,0.026985788059915694,0.13611540979611714,0.14713467797245905,0.011019268176341912
20260803,gaussian_noise,20.0,0.7783124394733234,0.8107962612907101,0.03248382181738674,0.3375222394757017,0.3263360123623126,-0.011186227113389124,0.21950811006948193,0.17260158364229375,-0.04690652642718818
20260803,gaussian_noise,30.0,0.6874589243203897,0.7954825996398012,0.10802367531941148,0.45107565054483423,0.3419399577577542,-0.10913569278708002,0.323587326172748,0.2235175455900378,-0.10006978058271018
20260804,clean,clean,0.8325367470029156,0.8095177023048842,-0.0230190446980314,0.2569489289523365,0.30421234761634747,0.04726341866401096,0.12051870651056756,0.1324729623334748,0.01195425582290724
20260804,gaussian_blur,1.0,0.8328708781712947,0.8086815128288812,-0.02418936534241345,0.2570355937851144,0.30124150369619784,0.04420590991108342,0.11720574701534614,0.12839833383834592,0.011192586822999784
20260804,gaussian_blur,2.0,0.8307022422759559,0.8071676079072263,-0.0235346343687296,0.26188035910388036,0.300817378325328,0.038937019221447655,0.1135916120145775,0.12890893290172395,0.015317320887146449
20260804,gaussian_blur,3.0,0.8247790913004265,0.8028200173722534,-0.02195907392817309,0.27415740350329904,0.3061815233151318,0.032024119811832785,0.11607781425217611,0.12171823120782796,0.005640416955651845
20260804,gaussian_noise,10.0,0.8301086510136789,0.8086210558012376,-0.02148759521244137,0.2552963127128742,0.2946361560673155,0.03933984335444135,0.12689024198177837,0.14102749821760832,0.014137256235829954
20260804,gaussian_noise,20.0,0.8177369937410547,0.802707168196025,-0.01502982554502974,0.2751587717702688,0.2883172828382261,0.01315851106795729,0.16460426312301787,0.17335002138296943,0.008745758259951553
20260804,gaussian_noise,30.0,0.7729534443338469,0.7640459428306058,-0.008907501503241155,0.3460190358023681,0.3367825501955282,-0.009236485606839873,0.2543603731788105,0.2428822105521782,-0.011478162626632288
20260805,clean,clean,0.8289552742604586,0.8093122999793801,-0.019642974281078418,0.24250858309097972,0.3040811719373941,0.06157258884641437,0.1209320440958376,0.14378843357595184,0.02285638948011423
20260805,gaussian_blur,1.0,0.8291587335405578,0.8116494625783097,-0.01750927096224808,0.2406530714578224,0.3017037445973337,0.06105067313951129,0.12172325763150829,0.13158475964591929,0.009861502014410994
20260805,gaussian_blur,2.0,0.8274301866026798,0.8125433494498608,-0.01488683715281891,0.24514221155081498,0.3040605821205549,0.05891837056973995,0.11955061014572127,0.12636267715386942,0.006812067008148154
20260805,gaussian_blur,3.0,0.8227424850824351,0.8093489205477343,-0.013393564534700753,0.2605410169704999,0.31529171906488096,0.05475070209438104,0.11536728938843864,0.12393636393673842,0.008569074548299777
20260805,gaussian_noise,10.0,0.8261775715147077,0.8016063775684931,-0.024571193946214653,0.2389085055781441,0.3145418682717818,0.07563336269363771,0.12113940660738982,0.16429932200023364,0.04315991539284382
20260805,gaussian_noise,20.0,0.8181752601593055,0.7466373953588424,-0.07153786480046309,0.2546769451940651,0.38724327570356076,0.13256633050949568,0.1583929047641607,0.23481052343391615,0.07641761866975544
20260805,gaussian_noise,30.0,0.792479700980862,0.5842435767672592,-0.2082361242136027,0.3022663883300822,0.5663931738930682,0.264126785562986,0.21687582976035535,0.32778236240038167,0.11090653264002631
