seed,model,degradation,severity,nc_clean_coverage,nc_degraded_coverage,nc_coverage_change,circularity_clean_coverage,circularity_degraded_coverage,circularity_coverage_change,target_gap_difference,more_fragile_target
20260803,baseline,gaussian_blur,1.0,0.9021739130434783,0.9021739130434783,0.0,0.8461538461538461,0.8461538461538461,0.0,0.0,equal
20260803,baseline,gaussian_blur,2.0,0.9021739130434783,0.8967391304347826,-0.005434782608695676,0.8461538461538461,0.8571428571428571,0.01098901098901095,0.016423793597706626,nc
20260803,baseline,gaussian_blur,3.0,0.9021739130434783,0.9021739130434783,0.0,0.8461538461538461,0.8688524590163934,0.022698612862547263,0.022698612862547263,nc
20260803,baseline,gaussian_noise,10.0,0.9021739130434783,0.9021739130434783,0.0,0.8461538461538461,0.8571428571428571,0.01098901098901095,0.01098901098901095,nc
20260803,baseline,gaussian_noise,20.0,0.9021739130434783,0.8858695652173914,-0.016304347826086918,0.8461538461538461,0.6740331491712708,-0.17212069698257537,-0.15581634915648845,circularity
20260803,baseline,gaussian_noise,30.0,0.9021739130434783,0.8315217391304348,-0.07065217391304346,0.8461538461538461,0.4157303370786517,-0.43042350907519444,-0.359771335162151,circularity
20260803,nc_aware_lambda_0p10,gaussian_blur,1.0,0.8369565217391305,0.8315217391304348,-0.005434782608695676,0.8351648351648352,0.8516483516483516,0.016483516483516425,0.0219182990922121,nc
20260803,nc_aware_lambda_0p10,gaussian_blur,2.0,0.8369565217391305,0.8369565217391305,0.0,0.8351648351648352,0.8461538461538461,0.01098901098901095,0.01098901098901095,nc
20260803,nc_aware_lambda_0p10,gaussian_blur,3.0,0.8369565217391305,0.8315217391304348,-0.005434782608695676,0.8351648351648352,0.8571428571428571,0.0219780219780219,0.027412804586717576,nc
20260803,nc_aware_lambda_0p10,gaussian_noise,10.0,0.8369565217391305,0.8369565217391305,0.0,0.8351648351648352,0.8186813186813187,-0.016483516483516536,-0.016483516483516536,circularity
20260803,nc_aware_lambda_0p10,gaussian_noise,20.0,0.8369565217391305,0.842391304347826,0.005434782608695565,0.8351648351648352,0.7802197802197802,-0.05494505494505497,-0.06037983755375054,circularity
20260803,nc_aware_lambda_0p10,gaussian_noise,30.0,0.8369565217391305,0.842391304347826,0.005434782608695565,0.8351648351648352,0.6593406593406593,-0.17582417582417587,-0.18125895843287143,circularity
20260804,baseline,gaussian_blur,1.0,0.8804347826086957,0.8967391304347826,0.016304347826086918,0.907608695652174,0.9021739130434783,-0.005434782608695676,-0.021739130434782594,circularity
20260804,baseline,gaussian_blur,2.0,0.8804347826086957,0.8913043478260869,0.010869565217391242,0.907608695652174,0.8967391304347826,-0.010869565217391353,-0.021739130434782594,circularity
20260804,baseline,gaussian_blur,3.0,0.8804347826086957,0.8858695652173914,0.005434782608695676,0.907608695652174,0.8852459016393442,-0.0223627940128297,-0.027797576621525377,circularity
20260804,baseline,gaussian_noise,10.0,0.8804347826086957,0.8858695652173914,0.005434782608695676,0.907608695652174,0.8804347826086957,-0.02717391304347827,-0.03260869565217395,circularity
20260804,baseline,gaussian_noise,20.0,0.8804347826086957,0.8858695652173914,0.005434782608695676,0.907608695652174,0.8206521739130435,-0.08695652173913049,-0.09239130434782616,circularity
20260804,baseline,gaussian_noise,30.0,0.8804347826086957,0.8586956521739131,-0.021739130434782594,0.907608695652174,0.5869565217391305,-0.32065217391304346,-0.29891304347826086,circularity
