seed,model,foreground_dice,nucleus_dice,cytoplasm_dice,mean_nc_absolute_error,median_nc_absolute_error,mean_circularity_absolute_error,invalid_nc_rate,invalid_circularity_rate
20260803,baseline,0.8219578438913016,0.8827625982113069,0.7611530895712959,0.29598477481905994,0.14801451844134533,0.11321773531301527,0.0,0.0
20260803,nc_aware_lambda_0p10,0.8322563843100321,0.8904722948888022,0.774040473731262,0.26300337159644027,0.10221410095846312,0.11416692116862205,0.0,0.0
20260804,baseline,0.8425775919727524,0.9055185823672319,0.7796366015782729,0.24802324184235897,0.11073039795024475,0.11541734124901874,0.0,0.0
20260804,nc_aware_lambda_0p10,0.8224009233070324,0.8902254483617843,0.7545763982522807,0.2572521240658367,0.1010814938188008,0.1151109577406731,0.0,0.0
20260805,baseline,0.8341060531885833,0.8956844740646297,0.7725276323125366,0.2605066051928739,0.10626261507023473,0.11460010191969118,0.0,0.0
20260805,nc_aware_lambda_0p10,0.8209616495460141,0.887439453753068,0.7544838453389604,0.27437246429606027,0.10275234226285535,0.12295954020722281,0.0,0.0
