case_type,rank,seed,cell_id,class,delta_nc_error,delta_foreground_dice,delta_nucleus_dice,delta_cytoplasm_dice,delta_circularity_error,delta_nucleus_area_error,delta_cytoplasm_area_error,baseline_nc_error,nc_aware_nc_error,baseline_foreground_dice,nc_aware_foreground_dice,model,nucleus_dice,cytoplasm_dice,foreground_dice,gt_nucleus_area,pred_nucleus_area,gt_cytoplasm_area,pred_cytoplasm_area,gt_nc,gt_circularity,nucleus_area_absolute_error,cytoplasm_area_absolute_error,pred_nc,nc_absolute_error,nc_relative_error,invalid_nc,pred_circularity,circularity_absolute_error,invalid_circularity,best_epoch,high_dice,high_nc_error,high_circularity_error
top_nc_improved,1,20260803,153831426-153831438-001,carcinoma_in_situ,-0.9794079543982379,0.06361550474537592,0.03035994884897586,0.09687106064177586,0.10924115156753944,-273.0,-491.0,4.731976618315652,3.7525686639174145,0.6726215194934162,0.7362370242387921,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,2,20260803,149185698-149185721-004,carcinoma_in_situ,-0.8473186495846394,0.03370956529180957,0.044394840242681255,0.023024290340938003,-0.018309542106774823,-248.0,-746.0,1.1194112490829102,0.2720925994982708,0.7660182298066118,0.7997277950984214,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,3,20260805,153831471-153831479-001,carcinoma_in_situ,-0.8376782292765588,0.028420964470558308,-0.01046004577179338,0.0673019747129101,0.032113649208094674,119.0,-271.0,1.009583843981457,0.1719056147048983,0.8093619837618616,0.8377829482324199,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,4,20260803,149146635-149146651-001,carcinoma_in_situ,-0.720928611760512,-0.007918661291295703,-0.030127019895922258,0.01428969731333074,0.00014790168760026035,167.0,-1519.0,0.7563289178837458,0.03540030612323375,0.777713645157198,0.7697949838659023,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,5,20260803,149146886-149146936-002,carcinoma_in_situ,-0.6065452475811042,-0.03533494414703042,-0.015362445799008917,-0.05530744249505182,-0.021752694360675395,117.0,-753.0,0.8422606959969898,0.23571544841588565,0.8256975343914691,0.7903625902444387,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,6,20260803,149315229-149315291-003,severe_dysplastic,-0.5986679736060885,0.05249827590909395,-0.0009739986714428772,0.10597055048963067,-0.011263476364867131,-42.0,-1540.0,0.7999194415263264,0.20125146792023796,0.8078532883872149,0.8603515642963089,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,7,20260805,149143370-149143378-002,carcinoma_in_situ,-0.5271276565922205,0.1482413241428049,0.051881389718215876,0.2446012585673938,-0.20672134966692235,-606.0,-22.0,0.7195927327074867,0.1924650761152662,0.5918337703525778,0.7400750944953827,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,8,20260803,149187049-149187073-001,carcinoma_in_situ,-0.49218219733440915,0.013768749711673745,0.02045659938590938,0.007080900037438109,0.0026922355359684236,-115.0,-294.0,0.601366131439639,0.10918393410522986,0.8462767567943346,0.8600455065060083,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,9,20260805,148503900-148503914-001,light_dysplastic,-0.4339474921968616,-0.0590368822531927,-0.08873002339851266,-0.029343741107872634,0.1697561400429729,583.0,-765.0,0.6341311979661648,0.20018370576930322,0.742890807702957,0.6838539254497643,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,10,20260804,149315229-149315291-003,severe_dysplastic,-0.4280413752504475,-0.011440202165669544,0.012382891508683103,-0.0352632958400223,0.026915455454247006,-315.0,-669.0,0.49040166589091605,0.06236029064046855,0.8488111690352658,0.8373709668695962,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,11,20260805,149054526-149054563-001,light_dysplastic,-0.4263067052941801,0.17021930698500198,0.18828850749979376,0.1521501064702102,-0.35710488248695343,-1945.0,1327.0,0.44067225233580104,0.014365547041620963,0.6729427602644988,0.8431620672495008,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,12,20260803,149185850-149185864-001,carcinoma_in_situ,-0.3924551919091215,0.05934485196684758,0.04657030571938048,0.07211939821431468,-0.003340108820091614,-575.0,-986.0,0.47071759667196544,0.07826240476284396,0.8328861315676837,0.8922309835345312,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,13,20260804,149146886-149146936-002,carcinoma_in_situ,-0.3696421842273614,-0.033505917620963,-0.0031599389727464677,-0.06385189626917953,0.009226248188917374,19.0,-457.0,0.6515931756464366,0.2819509914190752,0.8426856635987112,0.8091797459777482,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,14,20260803,153956444-153956458-003,normal_columnar,-0.3604158018514303,0.11289641015505336,0.1502724198151706,0.07552040049493625,-0.009339060136074884,-183.0,-1295.0,0.4580890742907263,0.09767327243929602,0.6840489817681461,0.7969453919231995,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,15,20260803,153314956-153314985-001,severe_dysplastic,-0.3376179434454798,0.03192660307451611,0.029792664346358966,0.03406054180267326,0.03442856682998152,-234.0,-472.0,0.3408177170563593,0.0031997736108795305,0.8339812794677989,0.865907882542315,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,16,20260803,153657257-153657289-002,light_dysplastic,-0.3346844931272275,0.12756542953376315,0.14724185174701399,0.10788900732051221,-0.17973243678224515,-1751.0,-699.0,0.41955878940383406,0.08487429627660659,0.8167327051030553,0.9442981346368184,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,17,20260805,153829063-153829073-001,severe_dysplastic,-0.3313837980409229,-0.010230855292655883,-0.0023261830023246777,-0.0181355275829872,-0.011420946452161296,17.0,-397.0,0.42398610594741903,0.09260230790649615,0.9006125481251532,0.8903816928324974,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,18,20260803,149181806-149181819-002,severe_dysplastic,-0.327034199982557,0.025315140566200878,0.001047409977042335,0.04958287115535953,0.006161328309715386,93.0,-3552.0,0.3669010704904856,0.03986687050792859,0.8780277562521142,0.903342896818315,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,19,20260803,149185604-149185629-001,carcinoma_in_situ,-0.32537012221465544,-0.002413907078846478,0.0007844877310593246,-0.00561230188875228,-0.020147026700973125,-6.0,-888.0,1.6012384155299788,1.2758682933153234,0.7401185627955661,0.7377046557167196,,,,,,,,,,,,,,,,,,,,,,,
top_nc_improved,20,20260803,149147848-149147864-001,carcinoma_in_situ,-0.3147706665610175,0.19673497228197678,0.2309770162679815,0.16249292829597206,-0.10767972972264872,-1154.0,-2718.0,0.4274463555932234,0.11267568903220593,0.6597516615107203,0.8564866337926971,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,1,20260805,149315229-149315291-003,severe_dysplastic,1.0569119000272265,-0.17413348109510796,-0.14567179686140774,-0.20259516532880806,0.07163516253045799,1790.0,1770.0,0.11172205950983405,1.1686339595370605,0.8475179097714515,0.6733844286763435,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,2,20260805,153831426-153831438-001,carcinoma_in_situ,0.9971152771716327,-0.07851818959491574,-0.04649304828984202,-0.11054333089998952,0.007298241104399916,374.0,409.0,3.6804397441981336,4.677555021369766,0.7222191695076821,0.6437009799127663,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,3,20260803,149105131-149105155-003,severe_dysplastic,0.8723561199693277,-0.11534636736756576,-0.08599493800967362,-0.14469779672545802,0.0029761324830300806,333.0,520.0,0.5338627099196172,1.4062188298889449,0.7331417513428015,0.6177953839752357,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,4,20260803,153831471-153831479-001,carcinoma_in_situ,0.803472626338201,-0.02578258923103005,0.04466713978514636,-0.09623231824720635,-0.039154895612722895,-258.0,218.0,0.047280602489561785,0.8507532288277628,0.8631968862812588,0.8374142970502287,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,5,20260805,149185405-149185423-002,carcinoma_in_situ,0.7971988357278521,-0.2300996037497971,-0.33779080176026244,-0.12240840573933165,0.09224071150556512,2026.0,1883.0,4.171294210052574,4.968493045780426,0.5816985625086504,0.3515989587588533,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,6,20260805,149185698-149185721-004,carcinoma_in_situ,0.6127908070137693,-0.15332628956088956,-0.09381949975098602,-0.21283307937079304,0.27536189947507295,473.0,330.0,0.4759741447036625,1.0887649517174318,0.7621534939702591,0.6088272044093695,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,7,20260805,149185604-149185629-001,carcinoma_in_situ,0.5847652829355972,-0.19745998662678588,-0.19335711558650037,-0.2015628576670715,-0.08034460325603476,1209.0,885.0,1.4339032000570513,2.0186684829926484,0.6338130882278482,0.43635310160106233,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,8,20260803,149062593-149062608-001,moderate_dysplastic,0.5350967875301227,0.04127018508752678,0.016631118876923145,0.06590925129813063,-0.00498350513591983,-213.0,1319.0,0.3095896447851755,0.8446864323152982,0.759640862652118,0.8009110477396448,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,9,20260804,149105131-149105155-003,severe_dysplastic,0.514635718891038,-0.06827447225484784,-0.04007261277954788,-0.09647633173014791,0.014296426896315051,140.0,346.0,0.6148742643124665,1.1295099832035045,0.7552804063614824,0.6870059341066346,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,10,20260803,149182550-149182608-005,carcinoma_in_situ,0.49337558537890525,-0.015120409328620465,-0.013056500101646051,-0.01718431855559477,-0.044735657974833476,220.0,177.0,0.059874012598740256,0.5532495979776455,0.8083895274914336,0.7932691181628131,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,11,20260804,149316117-149316122-002,carcinoma_in_situ,0.4649835208494426,-0.09972854651815755,-0.06075238721087772,-0.13870470582543726,0.1584145882644955,147.0,390.0,0.2720389677654027,0.7370224886148453,0.8348722326290913,0.7351436861109337,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,12,20260803,148503900-148503914-001,light_dysplastic,0.44117165161612115,-0.0699964011976455,-0.006166944729093737,-0.13382585766619726,0.014143629584231876,71.0,1613.0,0.18430238415203226,0.6254740357681534,0.8256467710072357,0.7556503698095902,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,13,20260804,153958547-153958572-004,normal_columnar,0.39970844121008564,-0.14099929875756945,-0.048519565652377694,-0.2334790318627611,0.05207469020756428,-40.0,453.0,0.26245408084457666,0.6621625220546623,0.8773315195788935,0.7363322208213241,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,14,20260803,149105131-149105155-002,severe_dysplastic,0.34193034327634586,-0.05270209866026487,-0.056090824683378226,-0.04931337263715141,-0.01842360097227702,436.0,593.0,0.009195006127450944,0.3511253494037968,0.9227267669792982,0.8700246683190334,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,15,20260804,153831471-153831479-001,carcinoma_in_situ,0.3056874474249929,0.03411211130301617,0.00594242709481041,0.06228179551122193,-0.06306759448829014,-133.0,43.0,0.6952701663897638,1.0009576138147567,0.7877997601918465,0.8219118714948627,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,16,20260803,149054526-149054563-001,light_dysplastic,0.3048463052504773,0.005341579694805421,-0.031118459892281236,0.04180161928189219,-0.2062897547838023,407.0,-1570.0,0.178573596997819,0.4834199022482963,0.6353824906750976,0.640724070369903,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,17,20260804,153829063-153829073-001,severe_dysplastic,0.30348255553903813,-0.04516913529151623,0.004862680111403117,-0.09520095069443568,-0.010790071894937636,-95.0,391.0,0.026230974184682898,0.32971352972372103,0.8856699574298792,0.840500822138363,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,18,20260804,149147848-149147864-001,carcinoma_in_situ,0.28850023917177625,-0.4056479430358789,-0.6347042496134796,-0.17659163645827824,0.05803609717176844,1914.0,-622.0,0.2546068432715791,0.5431070824433554,0.8395096243926665,0.4338616813567876,,,,,,,,,,,,,,,,,,,,,,,
