seed,model,degradation,severity,target,nominal_coverage,empirical_coverage,coverage_gap,conditional_coverage,failure_aware_coverage,interval_mean_width,interval_median_width,invalid_rate,failure_rate,calibration_sample_size,test_sample_size,frozen_quantile,calibration_source
20260803,baseline,clean,clean,nc,0.9,0.9021739130434783,0.0021739130434782483,0.9021739130434783,0.9021739130434783,1.715943749630765,1.7159437496307652,0.0,0.0,183,184,0.8579718748153826,clean
20260803,baseline,gaussian_blur,1,nc,0.9,0.9021739130434783,0.0021739130434782483,0.9021739130434783,0.9021739130434783,1.715943749630765,1.7159437496307652,0.0,0.0,183,184,0.8579718748153826,clean
20260803,baseline,gaussian_blur,2,nc,0.9,0.8967391304347826,-0.003260869565217428,0.8967391304347826,0.8967391304347826,1.715943749630765,1.7159437496307652,0.0,0.0,183,184,0.8579718748153826,clean
20260803,baseline,gaussian_blur,3,nc,0.9,0.9021739130434783,0.0021739130434782483,0.9021739130434783,0.9021739130434783,1.715943749630765,1.7159437496307652,0.0,0.0,183,184,0.8579718748153826,clean
20260803,baseline,gaussian_noise,10,nc,0.9,0.9021739130434783,0.0021739130434782483,0.9021739130434783,0.9021739130434783,1.715943749630765,1.7159437496307652,0.0,0.0,183,184,0.8579718748153826,clean
20260803,baseline,gaussian_noise,20,nc,0.9,0.8858695652173914,-0.01413043478260867,0.8858695652173914,0.8858695652173914,1.715943749630765,1.7159437496307652,0.0,0.0,183,184,0.8579718748153826,clean
20260803,baseline,gaussian_noise,30,nc,0.9,0.8315217391304348,-0.06847826086956521,0.8315217391304348,0.8315217391304348,1.715943749630765,1.7159437496307652,0.0,0.0,183,184,0.8579718748153826,clean
20260803,baseline,clean,clean,circularity,0.9,0.8461538461538461,-0.05384615384615388,0.8461538461538461,0.8369565217391305,0.49980013084624425,0.4998001308462441,0.010869565217391304,0.010869565217391304,180,184,0.24990006542312204,clean
20260803,baseline,gaussian_blur,1,circularity,0.9,0.8461538461538461,-0.05384615384615388,0.8461538461538461,0.8369565217391305,0.49980013084624425,0.4998001308462441,0.010869565217391304,0.010869565217391304,180,184,0.24990006542312204,clean
20260803,baseline,gaussian_blur,2,circularity,0.9,0.8571428571428571,-0.04285714285714293,0.8571428571428571,0.8478260869565217,0.49980013084624425,0.4998001308462441,0.010869565217391304,0.010869565217391304,180,184,0.24990006542312204,clean
20260803,baseline,gaussian_blur,3,circularity,0.9,0.8688524590163934,-0.031147540983606614,0.8688524590163934,0.8641304347826086,0.4998001308462443,0.4998001308462441,0.005434782608695652,0.005434782608695652,180,184,0.24990006542312204,clean
20260803,baseline,gaussian_noise,10,circularity,0.9,0.8571428571428571,-0.04285714285714293,0.8571428571428571,0.8478260869565217,0.49980013084624425,0.4998001308462441,0.010869565217391304,0.010869565217391304,180,184,0.24990006542312204,clean
20260803,baseline,gaussian_noise,20,circularity,0.9,0.6740331491712708,-0.22596685082872925,0.6740331491712708,0.6630434782608695,0.49980013084624425,0.4998001308462441,0.016304347826086956,0.016304347826086956,180,184,0.24990006542312204,clean
20260803,baseline,gaussian_noise,30,circularity,0.9,0.4157303370786517,-0.4842696629213483,0.4157303370786517,0.40217391304347827,0.49980013084624425,0.4998001308462441,0.03260869565217391,0.03260869565217391,180,184,0.24990006542312204,clean
20260803,nc_aware_lambda_0p10,clean,clean,nc,0.9,0.8369565217391305,-0.06304347826086953,0.8369565217391305,0.8369565217391305,1.2050940244433652,1.205094024443365,0.0,0.0,183,184,0.6025470122216825,clean
20260803,nc_aware_lambda_0p10,gaussian_blur,1,nc,0.9,0.8315217391304348,-0.06847826086956521,0.8315217391304348,0.8315217391304348,1.2050940244433652,1.205094024443365,0.0,0.0,183,184,0.6025470122216825,clean
20260803,nc_aware_lambda_0p10,gaussian_blur,2,nc,0.9,0.8369565217391305,-0.06304347826086953,0.8369565217391305,0.8369565217391305,1.2050940244433652,1.205094024443365,0.0,0.0,183,184,0.6025470122216825,clean
20260803,nc_aware_lambda_0p10,gaussian_blur,3,nc,0.9,0.8315217391304348,-0.06847826086956521,0.8315217391304348,0.8315217391304348,1.2050940244433652,1.205094024443365,0.0,0.0,183,184,0.6025470122216825,clean
