seed,model,degradation,severity,clean_foreground_dice,degraded_foreground_dice,delta_foreground_dice,nc_coverage_change,circularity_coverage_change,target_gap_difference,more_fragile_target
20260803,baseline,gaussian_blur,1.0,0.8014072099611532,0.7994806604853771,-0.0019265494757760848,0.0,0.0,0.0,equal
20260803,baseline,gaussian_blur,2.0,0.8014072099611532,0.7954776279940391,-0.005929581967114128,-0.005434782608695676,0.01098901098901095,0.016423793597706626,nc
20260803,baseline,gaussian_noise,10.0,0.8014072099611532,0.8032705799783615,0.0018633700172082657,0.0,0.01098901098901095,0.01098901098901095,nc
20260803,nc_aware_lambda_0p10,gaussian_blur,1.0,0.8142844728878987,0.8132542365116112,-0.0010302363762875189,-0.005434782608695676,0.016483516483516425,0.0219182990922121,nc
20260803,nc_aware_lambda_0p10,gaussian_blur,2.0,0.8142844728878987,0.809947714228415,-0.004336758659483686,0.0,0.01098901098901095,0.01098901098901095,nc
20260803,nc_aware_lambda_0p10,gaussian_noise,10.0,0.8142844728878987,0.8138169095773936,-0.0004675633105051258,0.0,-0.016483516483516536,-0.016483516483516536,circularity
20260803,nc_aware_lambda_0p10,gaussian_noise,20.0,0.8142844728878987,0.8107962612907101,-0.003488211597188595,0.005434782608695565,-0.05494505494505497,-0.06037983755375054,circularity
20260804,baseline,gaussian_blur,1.0,0.8325367470029156,0.8328708781712947,0.0003341311683791037,0.016304347826086918,-0.005434782608695676,-0.021739130434782594,circularity
20260804,baseline,gaussian_blur,2.0,0.8325367470029156,0.8307022422759559,-0.0018345047269596737,0.010869565217391242,-0.010869565217391353,-0.021739130434782594,circularity
20260804,baseline,gaussian_blur,3.0,0.8325367470029156,0.8247790913004265,-0.007757655702489097,0.005434782608695676,-0.0223627940128297,-0.027797576621525377,circularity
20260804,baseline,gaussian_noise,10.0,0.8325367470029156,0.8301086510136789,-0.002428095989236656,0.005434782608695676,-0.02717391304347827,-0.03260869565217395,circularity
20260804,nc_aware_lambda_0p10,gaussian_blur,1.0,0.8095177023048842,0.8086815128288812,-0.0008361894760029465,-0.005434782608695676,0.0219780219780219,0.027412804586717576,nc
20260804,nc_aware_lambda_0p10,gaussian_blur,2.0,0.8095177023048842,0.8071676079072263,-0.002350094397657876,-0.005434782608695676,0.006365219479973594,0.01180000208866927,nc
20260804,nc_aware_lambda_0p10,gaussian_blur,3.0,0.8095177023048842,0.8028200173722534,-0.0066976849326307875,0.0,0.028223142977241267,0.028223142977241267,nc
20260804,nc_aware_lambda_0p10,gaussian_noise,10.0,0.8095177023048842,0.8086210558012376,-0.0008966465036466253,0.005434782608695676,-0.005494505494505475,-0.010929288103201151,circularity
20260804,nc_aware_lambda_0p10,gaussian_noise,20.0,0.8095177023048842,0.802707168196025,-0.006810534108859234,0.016304347826086918,-0.09745991713204827,-0.11376426495813519,circularity
20260805,baseline,gaussian_blur,1.0,0.8289552742604586,0.8291587335405578,0.00020345928009923853,0.0,0.010869565217391353,0.010869565217391353,nc
20260805,baseline,gaussian_blur,2.0,0.8289552742604586,0.8274301866026798,-0.001525087657778812,0.005434782608695565,0.0,-0.005434782608695565,circularity
20260805,baseline,gaussian_blur,3.0,0.8289552742604586,0.8227424850824351,-0.006212789178023481,0.0,0.01630434782608703,0.01630434782608703,nc
20260805,baseline,gaussian_noise,10.0,0.8289552742604586,0.8261775715147077,-0.002777702745750843,0.005434782608695565,-0.016304347826086918,-0.021739130434782483,circularity
20260805,nc_aware_lambda_0p10,gaussian_blur,1.0,0.8093122999793801,0.8116494625783097,0.0023371625989295763,-0.010869565217391353,0.03825136612021862,0.049120931337609974,nc
20260805,nc_aware_lambda_0p10,gaussian_blur,2.0,0.8093122999793801,0.8125433494498608,0.003231049470480696,-0.010869565217391353,0.04371584699453557,0.05458541221192692,nc
20260805,nc_aware_lambda_0p10,gaussian_blur,3.0,0.8093122999793801,0.8093489205477343,3.662056835418426e-05,-0.01630434782608703,0.032786885245901676,0.049091233071988705,nc
20260805,nc_aware_lambda_0p10,gaussian_noise,10.0,0.8093122999793801,0.8016063775684931,-0.007705922410887078,-0.010869565217391353,-0.03825136612021851,-0.027381800902827158,circularity
