split,cell_id,class,seed,model,degradation,severity,clean_foreground_dice,degraded_foreground_dice,delta_foreground_dice,clean_nucleus_dice,degraded_nucleus_dice,delta_nucleus_dice,clean_cytoplasm_dice,degraded_cytoplasm_dice,delta_cytoplasm_dice,clean_nc_absolute_error,degraded_nc_absolute_error,delta_nc_absolute_error,clean_circularity_absolute_error,degraded_circularity_absolute_error,delta_circularity_absolute_error,clean_nucleus_area_absolute_error,degraded_nucleus_area_absolute_error,delta_nucleus_area_absolute_error,clean_cytoplasm_area_absolute_error,degraded_cytoplasm_area_absolute_error,delta_cytoplasm_area_absolute_error
calibration,148494967-148494986-001,light_dysplastic,20260803,baseline,gaussian_blur,1,0.8704764938851539,0.8704302263426973,-4.62675424566239e-05,0.8857538400685608,0.8848357147560414,-0.0009181253125194466,0.855199147701747,0.8560247379293532,0.0008255902276061988,0.09181178972942644,0.09212175979803933,0.0003099700686128859,0.17212012152939582,0.1709524236024983,-0.0011676979268975263,1677,1695,18,9483,9453,-30
calibration,148494967-148494986-001,light_dysplastic,20260803,baseline,gaussian_blur,2,0.8704764938851539,0.862892838155996,-0.007583655729157868,0.8857538400685608,0.872987012987013,-0.01276682708154786,0.855199147701747,0.8527986633249791,-0.002400484376767875,0.09181178972942644,0.0993202159005169,0.00750842617109046,0.17212012152939582,0.11279966377789585,-0.059320457751499966,1677,1908,231,9483,9585,102
calibration,148494967-148494986-001,light_dysplastic,20260803,baseline,gaussian_blur,3,0.8704764938851539,0.858735860302739,-0.01174063358241495,0.8857538400685608,0.8653450051493305,-0.02040883491923029,0.855199147701747,0.8521267154561474,-0.00307243224559961,0.09181178972942644,0.10373108337664175,0.011919293647215307,0.17212012152939582,0.08000542908532726,-0.09211469244406856,1677,2044,367,9483,9641,158
calibration,148494967-148494986-001,light_dysplastic,20260803,baseline,gaussian_noise,10,0.8704764938851539,0.8658574291925307,-0.004619064692623187,0.8857538400685608,0.8797799895233106,-0.005973850545250237,0.855199147701747,0.851934868861751,-0.0032642788399960265,0.09181178972942644,0.09687146160247587,0.005059671873049426,0.17212012152939582,0.149344933084694,-0.022775188444701833,1677,1780,103,9483,9762,279
calibration,148494967-148494986-001,light_dysplastic,20260803,baseline,gaussian_noise,20,0.8704764938851539,0.8840380442749609,0.013561550389806998,0.8857538400685608,0.9077561008768948,0.022002260808334007,0.855199147701747,0.8603199876730271,0.0051208399712801,0.09181178972942644,0.07862218684924835,-0.013189602880178092,0.17212012152939582,0.1460989267388636,-0.02602119479053222,1677,1219,-458,9483,9512,29
calibration,148494967-148494986-001,light_dysplastic,20260803,baseline,gaussian_noise,30,0.8704764938851539,0.8774453703977303,0.006968876512576383,0.8857538400685608,0.9006667115630682,0.014912871494507374,0.855199147701747,0.8542240292323924,-0.0009751184693546078,0.09181178972942644,0.08374604870852459,-0.008065741020901851,0.17212012152939582,0.1477618223878412,-0.02435829914155463,1677,1357,-320,9483,9668,185
calibration,148495553-148495585-001,light_dysplastic,20260803,baseline,gaussian_blur,1,0.9630152601237896,0.9642896810859203,0.0012744209621307068,0.9776499225492365,0.9790333259766056,0.0013834034273690898,0.9483805976983425,0.9495460361952349,0.0011654384968924347,0.005969630690666111,0.006165547584588982,0.0001959168939228706,0.1320839478068564,0.1432674765626264,0.01118352875577,104,80,-24,2170,2044,-126
calibration,148495553-148495585-001,light_dysplastic,20260803,baseline,gaussian_blur,2,0.9630152601237896,0.9639447831852527,0.0009295230614631,0.9776499225492365,0.9774961765348481,-0.00015374601438844504,0.9483805976983425,0.9503933898356572,0.002012792137314756,0.005969630690666111,0.008184741041852794,0.002215110351186683,0.1320839478068564,0.14932066493619556,0.017236717129339163,104,12,-92,2170,1850,-320
calibration,148495553-148495585-001,light_dysplastic,20260803,baseline,gaussian_blur,3,0.9630152601237896,0.9631284407301289,0.00011318060633935811,0.9776499225492365,0.976447709593777,-0.0012022129554595251,0.9483805976983425,0.9498091718664808,0.0014285741681383524,0.005969630690666111,0.010508359435315251,0.00453872874464914,0.1320839478068564,0.15072629736220677,0.01864234955535038,104,114,10,2170,1660,-510
calibration,148495553-148495585-001,light_dysplastic,20260803,baseline,gaussian_noise,10,0.9630152601237896,0.9626045008459908,-0.00041075927779876675,0.9776499225492365,0.9782753269784971,0.0006254044292605121,0.9483805976983425,0.9469336747134846,-0.0014469229848579346,0.005969630690666111,0.00503103731210508,-0.0009385933785610312,0.1320839478068564,0.13479026306451714,0.0027063152576607408,104,120,16,2170,2072,-98
calibration,148495553-148495585-001,light_dysplastic,20260803,baseline,gaussian_noise,20,0.9630152601237896,0.9534183846564965,-0.009596875467293042,0.9776499225492365,0.9711602951039571,-0.006489627445279478,0.9483805976983425,0.9356764742090361,-0.012704123489306385,0.005969630690666111,0.005433673273807504,-0.0005359574168586068,0.1320839478068564,0.147645260538406,0.015561312731549592,104,196,92,2170,2704,534
calibration,148495553-148495585-001,light_dysplastic,20260803,baseline,gaussian_noise,30,0.9630152601237896,0.9434953194986891,-0.01951994062510043,0.9776499225492365,0.9637845178813943,-0.013865404667842252,0.9483805976983425,0.923206121115984,-0.025174476582358496,0.005969630690666111,0.004968024735308135,-0.001001605955357976,0.1320839478068564,0.16002758416785823,0.027943636361001833,104,306,202,2170,3386,1216
calibration,148497551-148497625-001,light_dysplastic,20260803,baseline,gaussian_blur,1,0.950954220695038,0.9504385048507935,-0.0005157158442444798,0.974002574002574,0.9724439866082926,-0.0015585873942813855,0.927905867387502,0.9284330230932943,0.0005271557057923149,0.005078444927998138,0.005891811967757732,0.0008133670397595938,0.028771785475799505,0.029542150950149226,0.0007703654743497212,88,92,4,33,3,-30
calibration,148497551-148497625-001,light_dysplastic,20260803,baseline,gaussian_blur,2,0.950954220695038,0.9477685888784392,-0.0031856318165988107,0.974002574002574,0.9669250645994832,-0.007077509403090709,0.927905867387502,0.9286121131573951,0.000706245769893088,0.005078444927998138,0.00939007114162524,0.004311626213627101,0.028771785475799505,0.02650760641469896,-0.0022641790611005463,88,118,30,33,124,91
calibration,148497551-148497625-001,light_dysplastic,20260803,baseline,gaussian_blur,3,0.950954220695038,0.9433590223884851,-0.007595198306552864,0.974002574002574,0.9598549598549598,-0.014147614147614118,0.927905867387502,0.9268630849220104,-0.0010427824654916096,0.005078444927998138,0.012512885035541876,0.007434440107543738,0.028771785475799505,0.02316537365523852,-0.005606411820560986,88,136,48,33,257,224
calibration,148497551-148497625-001,light_dysplastic,20260803,baseline,gaussian_noise,10,0.950954220695038,0.944462358969913,-0.006491861725124948,0.974002574002574,0.9678594664931686,-0.006143107509405388,0.927905867387502,0.9210652514466575,-0.006840615940844508,0.005078444927998138,0.007935823781811457,0.0028573788538133194,0.028771785475799505,0.045142053768427726,0.01637026829262822,88,173,85,33,199,166
