sample_id,parent_source_id,diagnostic_class,model,seed_aggregation,n_seed_rows,nucleus_dice,cytoplasm_dice,foreground_dice,cell_dice,area_ae,perimeter_ae,circularity_ae,nc_ae,invalid_prediction,invalid_circularity,invalid_nc
Dyskeratotic__001_01,Dyskeratotic__001,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8925714285714286,0.38458534045046217,0.6385783845109454,0.5182907432933941,188.0,10.97056269645691,0.022175223433497537,0.0662275151050421,0.0,0.0,0.0
Dyskeratotic__001_02,Dyskeratotic__001,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8989943156974202,0.6117523609653726,0.7553733383313963,0.7515302935665209,229.0,17.899494647979736,0.051002461429276225,0.1324141953910583,0.0,0.0,0.0
Dyskeratotic__001_03,Dyskeratotic__001,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8451261751608115,0.5634031060094531,0.7042646405851323,0.6902185444515171,313.0,19.071067333221436,0.013183282668378982,0.15434173876970486,0.0,0.0,0.0
Dyskeratotic__001_04,Dyskeratotic__001,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8788321167883212,0.7705627705627706,0.8246974436755459,0.8189976807502268,156.0,9.455844044685364,0.020835463844279145,0.08134497348191405,0.0,0.0,0.0
Dyskeratotic__001_05,Dyskeratotic__001,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8921484037963762,0.808,0.8428335704125178,0.8508009153318078,77.0,7.3137078285217285,0.01756753960180446,0.03718457492070859,0.0,0.0,0.0
Dyskeratotic__002_01,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8157377049180328,0.36693548387096775,0.6101144485223102,0.4628252788104089,186.0,14.970562815666199,0.07889283413925152,0.03773011952966798,0.0,0.0,0.0
Dyskeratotic__002_02,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.861580013504389,0.38890723010894684,0.6324701439800933,0.613302752293578,165.0,13.313708186149597,0.017694539973108103,0.06872541978728497,0.0,0.0,0.0
Dyskeratotic__002_03,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.7992351816443595,0.6553637484586929,0.7272994650515262,0.7883449883449883,210.0,12.242640614509583,0.031265095119373976,0.32803959374332226,0.0,0.0,0.0
Dyskeratotic__002_04,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.6471544715447154,0.044829721362229104,0.34599209645347223,0.21665771090811392,434.0,26.284270644187927,0.04232142110393944,0.1863670704235449,0.0,0.0,0.0
Dyskeratotic__002_05,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8180242634315424,0.13316261203585147,0.47559343773369694,0.3853848291191998,315.0,21.556349515914917,0.047667055279969395,0.14262188434883707,0.0,0.0,0.0
Dyskeratotic__002_06,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.7078757452149357,0.5127875594396607,0.6417246819499928,0.6651169998450334,931.0,24.506096363067627,0.09389903064632033,0.3441563106607768,0.0,0.0,0.0
Dyskeratotic__002_07,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.5671342685370742,0.23674685969767936,0.4019405641173768,0.44354697102721685,432.0,32.16295099258423,0.03204083076916203,0.1286826215688556,0.0,0.0,0.0
Dyskeratotic__002_08,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.9312714776632303,0.6236133122028527,0.7896803743960836,0.798492117888965,182.0,4.828427255153656,0.009134219285870104,0.1788446128563474,0.0,0.0,0.0
Dyskeratotic__002_09,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8555514296323803,0.20454283408278565,0.530047131857583,0.4217842688720746,389.0,24.970561861991882,0.04963425816630429,0.20140254958640796,0.0,0.0,0.0
Dyskeratotic__002_10,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.6661442006269592,0.635945945945946,0.6363498750408623,0.7724580949513199,426.0,10.928932666778564,0.18076286764312777,0.08080489389102133,0.0,0.0,0.0
Dyskeratotic__003_01,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.9206917113893858,0.6387995712754555,0.7924334935028963,0.7975540511028609,168.0,7.45584374666214,0.04380503254508877,0.11787826528491407,0.0,0.0,0.0
Dyskeratotic__003_02,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8515691263782866,0.6664439619174879,0.7590065441478873,0.7457437901200111,87.0,3.7573593854904175,0.05691770071898705,0.06048630725776741,0.0,0.0,0.0
Dyskeratotic__003_03,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.9204819277108434,0.6916027679072377,0.8060423478090406,0.7648665048543689,99.0,10.485280990600586,0.048918512038085504,0.004197318826172108,0.0,0.0,0.0
Dyskeratotic__003_04,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.6356589147286822,0.5233473722761399,0.6459645055958523,0.6659962649044677,286.0,19.242640435695648,0.00792417912750143,0.05815959202039897,0.0,0.0,0.0
Dyskeratotic__003_05,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8301886792452831,0.6873212583412774,0.7609727020635773,0.7959712569207209,67.0,14.142135977745056,0.03891288660564718,0.04469558551222086,0.0,0.0,0.0
Dyskeratotic__003_06,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.912718204488778,0.3892061679040548,0.6509621861964164,0.5192843866171004,140.0,13.313708424568176,0.07190738314371925,0.14596621648036712,0.0,0.0,0.0
Dyskeratotic__003_07,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.7835420393559929,0.5833187620213324,0.7127982585198838,0.7382352941176471,385.0,22.020814895629883,0.026661137046774697,0.19772059696069827,0.0,0.0,0.0
Dyskeratotic__003_08,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8725901089689857,0.3237555645487657,0.5981728367588757,0.527292576419214,304.0,13.07106637954712,0.05480746347371934,0.4919138309211512,0.0,0.0,0.0
Dyskeratotic__003_09,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.9285714285714286,0.5687203791469194,0.748645903859174,0.6760420196543545,2.0,2.58578622341156,0.03960723502249852,0.05201518119720097,0.0,0.0,0.0
Dyskeratotic__003_10,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8407643312101911,0.22950819672131148,0.5351362639657513,0.5935162094763092,242.0,19.071067810058594,0.03368708958129518,0.4521557508332973,0.0,0.0,0.0
Dyskeratotic__003_11,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.6648199445983379,0.09972451790633609,0.382272231252337,0.42885297595585337,484.0,32.38477611541748,0.073457824659243,0.30758032281299774,0.0,0.0,0.0
Dyskeratotic__003_12,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.6370510396975425,0.4657534246575342,0.5514022321775384,0.6272974812797821,366.0,17.36396086215973,0.05332127434567785,0.14666450665582062,0.0,0.0,0.0
Dyskeratotic__004_01,Dyskeratotic__004,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.5630936227951153,0.3556089502928368,0.45935128654397606,0.43501782859953275,644.0,25.263455629348755,0.15904949962173642,0.17043294364298509,0.0,0.0,0.0
Dyskeratotic__004_02,Dyskeratotic__004,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8180815876515987,0.5991735537190083,0.7086275706853035,0.7907788390889052,646.0,20.26345646381378,0.04296609707606969,0.1549435701248392,0.0,0.0,0.0
Dyskeratotic__004_03,Dyskeratotic__004,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.7130242825607064,0.4344512195121951,0.5737377510364507,0.7028531663187195,504.0,46.45584338903427,0.15526459687529232,0.03385724970824466,0.0,0.0,0.0
Dyskeratotic__005_01,Dyskeratotic__005,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.0,0.38174946004319654,0.19087473002159827,0.3517850478915288,631.0,28.870057106018066,0.007718697615227144,0.15081261950286806,1.0,1.0,0.0
Dyskeratotic__005_02,Dyskeratotic__005,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.6126616746085772,0.3437996119245017,0.47823064326653947,0.41399234793472317,569.0,31.476659059524536,0.0274170912309043,0.03196711433536424,0.0,0.0,0.0
Dyskeratotic__005_03,Dyskeratotic__005,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.5603448275862069,0.49361239467246537,0.5269786111293361,0.5641142857142857,612.0,29.334523022174835,0.11728903946456076,0.09501471941453035,0.0,0.0,0.0
Dyskeratotic__005_04,Dyskeratotic__005,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.6296296296296297,0.21740736181213838,0.423518495720884,0.33447627474836855,340.0,24.849242746829987,0.03826309814816853,0.05232069208204611,0.0,0.0,0.0
Dyskeratotic__005_05,Dyskeratotic__005,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.8562434417628542,0.35094001790510293,0.603742260261452,0.4838650193619768,137.0,15.050252795219421,0.050609897227559986,0.1819440318051847,0.0,0.0,0.0
Dyskeratotic__005_06,Dyskeratotic__005,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.900391474554154,0.4551622418879056,0.6790962724591043,0.6143014301430143,217.0,12.506095945835114,0.011670606534574801,0.23610870126366576,0.0,0.0,0.0
Dyskeratotic__005_07,Dyskeratotic__005,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.7387387387387387,0.5684822349301585,0.6536104868344486,0.722032667876588,304.0,8.686292171478271,0.27289816369971,0.060260750685527664,0.0,0.0,0.0
Dyskeratotic__006_01,Dyskeratotic__006,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.5738341968911918,0.3158995815899582,0.44486688924057494,0.396849087893864,658.0,41.94112515449524,0.12437126798325038,0.04331111636953261,0.0,0.0,0.0
Dyskeratotic__006_02,Dyskeratotic__006,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.9186535764375876,0.5693467336683417,0.7464338285946326,0.644553819815964,90.0,7.071067631244659,0.03444327689889759,0.0375562090883218,0.0,0.0,0.0
Dyskeratotic__006_03,Dyskeratotic__006,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.9100599600266489,0.45268542199488493,0.6870168683008133,0.5634428721786926,123.0,9.89949506521225,0.0228449512141507,0.09874123885246094,0.0,0.0,0.0
Dyskeratotic__006_04,Dyskeratotic__006,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.9388816644993498,0.6928104575163399,0.8178431801698574,0.7331250454116108,41.0,7.363960564136505,0.08323159191594615,0.09054682811252654,0.0,0.0,0.0
Dyskeratotic__006_05,Dyskeratotic__006,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.7758985200845666,0.7159632600860365,0.7459308900853016,0.8075860097207662,338.0,10.585786819458008,0.09313257118362517,0.0065660044219446045,0.0,0.0,0.0
Dyskeratotic__006_06,Dyskeratotic__006,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.7228158390949089,0.49663478568898334,0.6097253123919462,0.6287135553406108,441.0,25.556349456310272,0.04299132318926002,0.17003742785381779,0.0,0.0,0.0
