accepted_edit_count,area_matching_error_abs,area_matching_error_norm,closing_area_ae,closing_benefit,closing_circularity_ae,closing_fallback_to_raw,closing_foreground_dice,closing_nc_ae,closing_nucleus_dice,closing_perimeter_ae,closing_specific_residual,diagnostic_class,fallback_to_raw,invalid_proposal_count,joint_matching_error,model,null_area_ae,null_benefit,null_circularity_ae,null_dA,null_dP,null_foreground_dice,null_nc_ae,null_nucleus_dice,null_perimeter_ae,parent_source_id,perimeter_matching_error_abs,perimeter_matching_error_norm,raw_area_ae,raw_circularity_ae,raw_foreground_dice,raw_nc_ae,raw_nucleus_dice,raw_perimeter_ae,sample_id,seed,sum_matching_error,target_dA,target_dP,valid_proposal_count
0,0.0,0.0,927,0.0,0.4485553895795902,False,0.09547214843196335,0.1782718104395927,0.0830860534124629,86.66904675960541,0.0,Dyskeratotic,False,0,0.0,baseline,927,0.0,0.4485553895795902,0.0,0.0,0.09547214843196335,0.1782718104395927,0.0830860534124629,86.66904675960541,Dyskeratotic__001,0.0,0.0,927,0.4485553895795902,0.09547214843196335,0.1782718104395927,0.0830860534124629,86.66904675960541,Dyskeratotic__001_01,20260803,0.0,0.0,0.0,2048
0,0.0,0.0,188,0.0,0.022175223433497537,False,0.6385783845109454,0.0662275151050421,0.8925714285714286,10.97056269645691,0.0,Dyskeratotic,False,0,0.0,baseline,188,0.0,0.022175223433497537,0.0,0.0,0.6385783845109454,0.0662275151050421,0.8925714285714286,10.97056269645691,Dyskeratotic__001,0.0,0.0,188,0.022175223433497537,0.6385783845109454,0.0662275151050421,0.8925714285714286,10.97056269645691,Dyskeratotic__001_01,20260804,0.0,0.0,0.0,2048
0,0.0,0.0,113,0.0,0.011690738929261646,False,0.7745766817998287,0.03710579318137877,0.938082191780822,6.4852811098098755,0.0,Dyskeratotic,False,0,0.0,baseline,113,0.0,0.011690738929261646,0.0,0.0,0.7745766817998287,0.03710579318137877,0.938082191780822,6.4852811098098755,Dyskeratotic__001,0.0,0.0,113,0.011690738929261646,0.7745766817998287,0.03710579318137877,0.938082191780822,6.4852811098098755,Dyskeratotic__001_01,20260805,0.0,0.0,0.0,2048
0,0.0,0.0,412,0.0,0.02482856486244278,False,0.5534889286969448,0.09057299431502752,0.8041825095057035,28.14213538169861,0.0,Dyskeratotic,False,0,0.0,baseline,412,0.0,0.02482856486244278,0.0,0.0,0.5534889286969448,0.09057299431502752,0.8041825095057035,28.14213538169861,Dyskeratotic__001,0.0,0.0,412,0.02482856486244278,0.5534889286969448,0.09057299431502752,0.8041825095057035,28.14213538169861,Dyskeratotic__001_02,20260803,0.0,0.0,0.0,2048
7,0.0,0.0,228,-0.008911430735092929,0.059913892164369154,False,0.7556674456381471,0.13197448390570365,0.8994755244755245,18.485281109809875,0.0016636207209830278,Dyskeratotic,False,0,2.1454137432786116e-08,baseline,228,-0.010575051456075957,0.06157751288535218,1.0,-0.5857867002487183,0.7556674456381471,0.13197448390570365,0.8994755244755245,18.485281348228455,Dyskeratotic__001,2.384185791015625e-07,2.1454137432786116e-08,229,0.051002461429276225,0.7553733383313963,0.1324141953910583,0.8989943156974202,17.899494647979736,Dyskeratotic__001_02,20260804,2.1454137432786116e-08,1.0,-0.5857864618301392,2048
3,0.0,0.0,169,-0.009117258916056081,0.0920094630413415,False,0.7922361927354136,0.17453233228187703,0.9203238176395399,17.313708424568176,3.2399677385441805e-09,Dyskeratotic,False,0,2.135309225473952e-08,baseline,169,-0.00911726215602382,0.09200946628130924,1.0,-0.5857867002487183,0.7928196497541247,0.17453233228187703,0.9211759693225394,17.313708662986755,Dyskeratotic__001,2.384185791015625e-07,2.135309225473952e-08,170,0.08289220412528542,0.7919538287041974,0.17488438985129934,0.9198635976129582,16.727921962738037,Dyskeratotic__001_02,20260805,2.135309225473952e-08,1.0,-0.5857864618301392,2048
0,0.0,0.0,1055,0.0,0.27927039035254353,False,0.2454813960085117,0.31525619079945005,0.1751368256450352,85.740114569664,0.0,Dyskeratotic,False,0,0.0,baseline,1055,0.0,0.27927039035254353,0.0,0.0,0.2454813960085117,0.31525619079945005,0.1751368256450352,85.740114569664,Dyskeratotic__001,0.0,0.0,1055,0.27927039035254353,0.2454813960085117,0.31525619079945005,0.1751368256450352,85.740114569664,Dyskeratotic__001_03,20260803,0.0,0.0,0.0,2048
8,0.0,0.0,311,-0.0023022394101008814,0.01079487156273562,False,0.7049116171724747,0.15376199443996053,0.8462679189322788,20.242640256881714,0.0019783903130343727,Dyskeratotic,False,0,6.702446104990027e-08,baseline,311,-0.004280629723135254,0.012773261875769992,2.0,-1.1715736389160156,0.7049116171724747,0.15376199443996053,0.8462679189322788,20.24264097213745,Dyskeratotic__001,7.152557373046875e-07,6.702446104990027e-08,313,0.008492632152634738,0.7042646405851323,0.15434173876970486,0.8451261751608115,19.071067333221436,Dyskeratotic__001_03,20260804,6.702446104990027e-08,2.0,-1.1715729236602783,2048
6,0.0,0.0,217,0.008395597785825548,0.0047876848825534335,False,0.8059765834598327,0.13735598411724453,0.8974964572508266,13.656854629516602,3.1746688611278273e-09,Dyskeratotic,False,0,2.1722218651657738e-08,baseline,217,0.008395594611156687,0.004787688057222295,2.0,-1.1715731620788574,0.8059765834598327,0.13735598411724453,0.8974964572508266,13.65685486793518,Dyskeratotic__001,2.384185791015625e-07,2.1722218651657738e-08,219,0.013183282668378982,0.8053603102801516,0.13792767458318977,0.8964539007092198,12.485281705856323,Dyskeratotic__001_03,20260805,2.1722218651657738e-08,2.0,-1.1715729236602783,2048
5,0.0,0.0,281,0.013941133130958794,0.006894330713320351,False,0.626663112736705,0.06243561330636216,0.7742971887550201,22.041630625724792,-0.0018129737338267171,Dyskeratotic,False,0,1.3019156888636182e-08,baseline,281,0.01575410686478551,0.005081356979493634,1.0,-0.5857865810394287,0.626663112736705,0.06243561330636216,0.7742971887550201,22.041630744934082,Dyskeratotic__001,1.1920928955078125e-07,1.3019156888636182e-08,282,0.020835463844279145,0.6261336751275555,0.06281531318108594,0.7733118971061094,21.455844163894653,Dyskeratotic__001_04,20260803,1.3019156888636182e-08,1.0,-0.5857864618301392,2048
