sample_id,parent_source_id,diagnostic_class,model,seed_aggregation,n_seed_rows,raw_circularity_ae,closing_circularity_ae,null_circularity_ae,closing_benefit,null_benefit,closing_specific_residual,raw_nucleus_dice,closing_nucleus_dice,null_nucleus_dice,raw_foreground_dice,closing_foreground_dice,null_foreground_dice,raw_area_ae,closing_area_ae,null_area_ae,raw_perimeter_ae,closing_perimeter_ae,null_perimeter_ae,raw_nc_ae,closing_nc_ae,null_nc_ae
Dyskeratotic__001_01,Dyskeratotic__001,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.022175223433497537,0.022175223433497537,0.022175223433497537,0.0,0.0,0.0,0.8925714285714286,0.8925714285714286,0.8925714285714286,0.6385783845109454,0.6385783845109454,0.6385783845109454,188.0,188.0,188.0,10.97056269645691,10.97056269645691,10.97056269645691,0.0662275151050421,0.0662275151050421,0.0662275151050421
Dyskeratotic__001_02,Dyskeratotic__001,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.051002461429276225,0.059913892164369154,0.06157751288535218,-0.008911430735092929,-0.00911726215602382,3.2399677385441805e-09,0.8989943156974202,0.8994755244755245,0.8994755244755245,0.7553733383313963,0.7556674456381471,0.7556674456381471,229.0,228.0,228.0,17.899494647979736,18.485281109809875,18.485281348228455,0.1324141953910583,0.13197448390570365,0.13197448390570365
Dyskeratotic__001_03,Dyskeratotic__001,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.013183282668378982,0.01079487156273562,0.012773261875769992,0.0,0.0,3.1746688611278273e-09,0.8451261751608115,0.8462679189322788,0.8462679189322788,0.7042646405851323,0.7049116171724747,0.7049116171724747,313.0,311.0,311.0,19.071067333221436,20.242640256881714,20.24264097213745,0.15434173876970486,0.15376199443996053,0.15376199443996053
Dyskeratotic__001_04,Dyskeratotic__001,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.020835463844279145,0.01717562650575377,0.01863131956826125,0.013941133130958794,0.01575410686478551,1.995913989638609e-09,0.8788321167883212,0.8814545454545455,0.88,0.8246974436755459,0.8261171111726018,0.8252727698431281,156.0,151.0,151.0,9.455844044685364,12.384776711463928,12.384776830673218,0.08134497348191405,0.08089309912343251,0.08089309912343251
Dyskeratotic__001_05,Dyskeratotic__001,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.01756753960180446,0.029364374917032143,0.030313524206659337,-0.011479182391454401,-0.012745984604854876,0.0,0.8921484037963762,0.8913793103448275,0.8931034482758621,0.8428335704125178,0.8428335704125178,0.8428335704125178,77.0,77.0,77.0,7.3137078285217285,7.899494409561157,7.899494290351868,0.03718457492070859,0.03683609807999225,0.03683609807999225
Dyskeratotic__002_01,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.07889283413925152,0.07056980288437331,0.07056980288437331,0.00832303125487821,0.00832303125487821,0.0,0.8157377049180328,0.8152031454783748,0.817824377457405,0.6101144485223102,0.6101144485223102,0.6101144485223102,186.0,186.0,186.0,14.970562815666199,14.970562815666199,14.970562815666199,0.03773011952966798,0.03773011952966798,0.03773011952966798
Dyskeratotic__002_02,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.017694539973108103,0.03156386370590303,0.03156386370590303,-0.013869323732794925,-0.013869323732794925,0.0,0.861580013504389,0.8631153068105192,0.8590694538098449,0.6324701439800933,0.632956271991939,0.632956271991939,165.0,164.0,164.0,13.313708186149597,13.899494409561157,13.899494409561157,0.06872541978728497,0.06872541978728497,0.06872541978728497
Dyskeratotic__002_03,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.031265095119373976,0.031265095119373976,0.031265095119373976,0.0,0.0,0.0,0.7992351816443595,0.7992351816443595,0.7992351816443595,0.7272994650515262,0.7272994650515262,0.7272994650515262,210.0,210.0,210.0,12.242640614509583,12.242640614509583,12.242640614509583,0.32803959374332226,0.32803959374332226,0.32803959374332226
Dyskeratotic__002_04,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.04232142110393944,0.0035016426447520566,0.010432872084568334,0.02232568153155645,0.02423567380652447,0.0,0.6471544715447154,0.6526315789473685,0.6526315789473685,0.34599209645347223,0.34874453792473753,0.34874453792473753,434.0,429.0,429.0,26.284270644187927,27.455843567848206,27.455843687057495,0.1863670704235449,0.1901050138569071,0.1901050138569071
Dyskeratotic__002_05,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.047667055279969395,0.047667055279969395,0.047667055279969395,0.0,0.0,0.0,0.8180242634315424,0.8187066974595842,0.8187066974595842,0.47559343773369694,0.4759468357404032,0.4759468357404032,315.0,314.0,314.0,21.556349515914917,21.556349515914917,21.556349515914917,0.14262188434883707,0.14262188434883707,0.14262188434883707
Dyskeratotic__002_06,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.09389903064632033,0.09106395185457111,0.0910639523474196,0.0028350787917492126,0.0028350782989007284,4.928484842459113e-10,0.7078757452149357,0.7082810539523212,0.7082810539523212,0.6417246819499928,0.6419569501084923,0.6419569501084923,931.0,930.0,930.0,24.506096363067627,24.79898965358734,24.798989593982697,0.3441563106607768,0.34395350276431846,0.34395350276431846
Dyskeratotic__002_07,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.03204083076916203,0.03204083076916203,0.03204083076916203,0.0,0.0,0.0,0.5671342685370742,0.5671342685370742,0.5671342685370742,0.4019405641173768,0.4019405641173768,0.4019405641173768,432.0,432.0,432.0,32.16295099258423,32.16295099258423,32.16295099258423,0.1286826215688556,0.1286826215688556,0.1286826215688556
Dyskeratotic__002_08,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.009134219285870104,0.007979299937082018,0.007979304946241217,0.001154919348788086,0.0011549143396288875,5.0091591985435e-09,0.9312714776632303,0.9316165951359084,0.9339055793991416,0.7896803743960836,0.789617717644916,0.7905534455180623,182.0,179.0,179.0,4.828427255153656,5.1213202476501465,5.1213202476501465,0.1788446128563474,0.17899146269227484,0.17899146269227484
Dyskeratotic__002_09,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.04963425816630429,0.04963425816630429,0.04963425816630429,0.0,0.0,0.0,0.8555514296323803,0.8555514296323803,0.8555514296323803,0.530047131857583,0.530047131857583,0.530047131857583,389.0,389.0,389.0,24.970561861991882,24.970561861991882,24.970561861991882,0.20140254958640796,0.20140254958640796,0.20140254958640796
Dyskeratotic__002_10,Dyskeratotic__002,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.18076286764312777,0.17159765368651647,0.1708313046041583,0.0,0.0,0.0,0.6661442006269592,0.6661442006269592,0.6661442006269592,0.6363498750408623,0.6360524181499979,0.6356625546022396,426.0,426.0,426.0,10.928932666778564,10.928932666778564,10.928932666778564,0.08080489389102133,0.08005416745927516,0.08005416745927516
Dyskeratotic__003_01,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.04380503254508877,0.05096775158981409,0.05121311705058118,-0.007162719044725319,-0.007408084505492407,0.00024536546076708854,0.9206917113893858,0.9210134128166915,0.9210134128166915,0.7924334935028963,0.7921790552838086,0.7921790552838086,168.0,167.0,167.0,7.45584374666214,8.041630208492279,8.041630506515503,0.11787826528491407,0.11799830972120928,0.11799830972120928
Dyskeratotic__003_02,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.05691770071898705,0.07982271281385867,0.07982271870904134,-0.022905012094871613,-0.017039887795180952,0.0,0.8515691263782866,0.8501270110076207,0.853448275862069,0.7590065441478873,0.7580626700819223,0.7600903189387525,87.0,89.0,89.0,3.7573593854904175,2.5857867002487183,2.5857863426208496,0.06048630725776741,0.06048630725776741,0.06048630725776741
Dyskeratotic__003_03,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.048918512038085504,0.048918512038085504,0.048918512038085504,0.0,0.0,0.0,0.9204819277108434,0.9204819277108434,0.9204819277108434,0.8060423478090406,0.8060423478090406,0.8060423478090406,99.0,99.0,99.0,10.485280990600586,10.485280990600586,10.485280990600586,0.004197318826172108,0.004197318826172108,0.004197318826172108
Dyskeratotic__003_04,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.00792417912750143,0.00792417912750143,0.008506878729210243,0.0,-0.0005826996017088137,0.0005826996017088137,0.6356589147286822,0.6347363328495405,0.6337687469762942,0.6459645055958523,0.6456615555191887,0.645016913298345,286.0,289.0,289.0,19.242640435695648,19.242640435695648,19.242640495300293,0.05815959202039897,0.058789802784550926,0.058789802784550926
Dyskeratotic__003_05,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.03891288660564718,0.026603764360232707,0.028361711126149713,0.006489085214895662,0.004615222473150382,0.0017579467659170067,0.8301886792452831,0.8304611085235212,0.8285980437820214,0.7609727020635773,0.761292652633669,0.7600640923777743,67.0,66.0,66.0,14.142135977745056,14.727922439575195,14.727922916412354,0.04469558551222086,0.045158207225537095,0.045158207225537095
Dyskeratotic__003_06,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.07190738314371925,0.07190738314371925,0.07190738314371925,0.0,0.0,0.0,0.912718204488778,0.912718204488778,0.912718204488778,0.6509621861964164,0.6509621861964164,0.6509621861964164,140.0,140.0,140.0,13.313708424568176,13.313708424568176,13.313708424568176,0.14596621648036712,0.14596621648036712,0.14596621648036712
Dyskeratotic__003_07,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.026661137046774697,0.044269600658402075,0.04429402630812462,-0.01760846361162738,-0.017632889261349927,2.4425649722548126e-05,0.7835420393559929,0.7834167262330236,0.7827019299499642,0.7127982585198838,0.7133741845116406,0.7127899348096187,385.0,383.0,383.0,22.020814895629883,23.192387998104095,23.192387998104095,0.19772059696069827,0.19690093904163736,0.19690093904163736
Dyskeratotic__003_08,Dyskeratotic__003,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.05480746347371934,0.04669580823322972,0.04669581536745504,0.008111655240489624,0.008111648106264302,7.812337887713738e-09,0.8725901089689857,0.8730624214495182,0.8730624214495182,0.5981728367588757,0.5984417551489647,0.5984417551489647,304.0,303.0,303.0,13.07106637954712,13.656852960586548,13.6568523645401,0.4919138309211512,0.49343415798310736,0.49343415798310736
