model,seed,n_evaluated,nucleus_dice_mean,foreground_dice_mean,circularity_ae_mean,area_ae_mean,perimeter_ae_mean,nc_ae_mean,invalid_prediction_rate,invalid_circularity_rate,invalid_nc_rate
baseline,20260803,4000,0.55254029331289,0.5901309726198533,0.24365746346701225,2645.45275,122.64113136483563,0.5428850574564827,0.1,0.1,0.0045
baseline,20260804,4000,0.6727233231845047,0.6909280062197491,0.18040041218223893,1479.4215,68.88185730892033,0.14896577106400233,0.046,0.046,0.0005
baseline,20260805,4000,0.6948354380062356,0.7040915392462939,0.1779675685476673,1681.88725,79.12897883383155,0.1473872173395425,0.026,0.026,0.00025
